
> dfs-optimizer@1.0.0 agent
> powershell -NoProfile -ExecutionPolicy Bypass -File scripts/run_optimizer.ps1 -Force

[TOKEN WARNING] Single run estimated at 117.00 tokens (> 15).
[Monte Carlo] UD EV discrepancy for 5P: cardEv=3.1963 monteCarloEV=2.9340 diff=0.2623
[Monte Carlo] UD EV discrepancy for 5P: cardEv=2.9965 monteCarloEV=3.1028 diff=0.1063
[Monte Carlo] UD EV discrepancy for 5P: cardEv=2.9965 monteCarloEV=3.0532 diff=0.0567
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.6823 monteCarloEV=1.0558 diff=0.6264
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.6567 monteCarloEV=1.1884 diff=0.4683
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.6552 monteCarloEV=1.2870 diff=0.3683
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.6552 monteCarloEV=1.2379 diff=0.4173
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.6299 monteCarloEV=1.4469 diff=0.1830
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.6299 monteCarloEV=1.3855 diff=0.2444
[Monte Carlo] UD EV discrepancy for 5P: cardEv=2.7092 monteCarloEV=2.6400 diff=0.0692
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.6250 monteCarloEV=1.2423 diff=0.3826
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.6000 monteCarloEV=1.3580 diff=0.2420
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5791 monteCarloEV=1.0668 diff=0.5123
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5710 monteCarloEV=1.3480 diff=0.2230
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5602 monteCarloEV=0.7687 diff=0.7915
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5545 monteCarloEV=1.3375 diff=0.2171
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5545 monteCarloEV=1.1952 diff=0.3594
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5545 monteCarloEV=1.1066 diff=0.4479
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5545 monteCarloEV=1.1385 diff=0.4160
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5465 monteCarloEV=1.4870 diff=0.0595
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5288 monteCarloEV=1.6005 diff=0.0717
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5288 monteCarloEV=1.3734 diff=0.1554
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5288 monteCarloEV=1.3686 diff=0.1602
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5288 monteCarloEV=1.3101 diff=0.2187
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5288 monteCarloEV=1.2957 diff=0.2331
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5240 monteCarloEV=1.2936 diff=0.2304
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5240 monteCarloEV=1.2351 diff=0.2889
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5055 monteCarloEV=0.9734 diff=0.5321
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5055 monteCarloEV=0.9184 diff=0.5871
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5000 monteCarloEV=1.5721 diff=0.0721
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5000 monteCarloEV=1.4398 diff=0.0601
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5000 monteCarloEV=1.3887 diff=0.1112
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.5000 monteCarloEV=1.3027 diff=0.1973
