eventID,startTime,homeTeam,awayTeam,status
uouX5XGenOrUpyREIdFs,2026-03-01T01:30:00.000Z,Golden State Warriors,Los Angeles Lakers,Final
yhzURO5Kim48eVuPj3zn,2026-03-01T02:30:00.000Z,Utah Jazz,New Orleans Pelicans,Final
M685aotf7qoC9pLMMgpc,2026-03-01T18:00:00.000Z,New York Knicks,San Antonio Spurs,Final
AJf9Jz6Qj4jcFJ4qR07l,2026-03-01T20:30:00.000Z,Brooklyn Nets,Cleveland Cavaliers,Final
NwV76mCQfESZubIWxrR8,2026-03-01T20:30:00.000Z,Chicago Bulls,Milwaukee Bucks,Final
udX8IvJdlwNkhuix8Szy,2026-03-01T20:30:00.000Z,Denver Nuggets,Minnesota Timberwolves,Final
eOYazwUqR1Gfwoc7L57I,2026-03-01T22:00:00.000Z,Indiana Pacers,Memphis Grizzlies,Final
9R43m7CQcebXDbVKZwHN,2026-03-01T23:00:00.000Z,Orlando Magic,Detroit Pistons,Final
E636hOoG4ooxJ70IbtLY,2026-03-01T23:00:00.000Z,Atlanta Hawks,Portland Trail Blazers,Final
AQhaJCl72BHpSymvrflU,2026-03-02T01:00:00.000Z,Boston Celtics,Philadelphia 76ers,Final
vHHBNP9nrxh9APOIDKVg,2026-03-02T01:00:00.000Z,Dallas Mavericks,Oklahoma City Thunder,Final
ZMjefvwX08itoqRXkR22,2026-03-02T02:00:00.000Z,Los Angeles Clippers,New Orleans Pelicans,Final
w8x0WIpMpjhJaRjbP0H3,2026-03-02T02:30:00.000Z,Los Angeles Lakers,Sacramento Kings,Final
XgpI3Mp3RH7idpyCfJr1,2026-03-03T00:00:00.000Z,Washington Wizards,Houston Rockets,Final
lDQEkcq17O7tACkz899B,2026-03-03T00:30:00.000Z,Milwaukee Bucks,Boston Celtics,Final
zY1h7YGzp57aG5XqphoO,2026-03-03T02:00:00.000Z,Utah Jazz,Denver Nuggets,Final
mSQqddHp5TPDJGYY7SmH,2026-03-03T03:00:00.000Z,Golden State Warriors,Los Angeles Clippers,Final
a3rctR6yXsmhnsTu6bmb,2026-03-04T00:00:00.000Z,Charlotte Hornets,Dallas Mavericks,Final
dKR6d7qv3c6hMASeYQyJ,2026-03-04T00:00:00.000Z,Cleveland Cavaliers,Detroit Pistons,Final
qhmLHOppvQs6HZFnrAix,2026-03-04T00:00:00.000Z,Orlando Magic,Washington Wizards,Final
1O1PPcrZwr0YCEdcFsTn,2026-03-04T00:30:00.000Z,Miami Heat,Brooklyn Nets,Final
bnJaKjkIGM0u6FZmEjNi,2026-03-04T00:30:00.000Z,Toronto Raptors,New York Knicks,Final
7hXwzobGJ3NaCf7gEdtB,2026-03-04T01:00:00.000Z,Minnesota Timberwolves,Memphis Grizzlies,Final
S1pikwWJ3hOH7ZY1Sf3n,2026-03-04T01:00:00.000Z,Philadelphia 76ers,San Antonio Spurs,Final
l9Qs7vwUJq4YF6ZVbPZo,2026-03-04T01:00:00.000Z,Chicago Bulls,Oklahoma City Thunder,Final
H2jpu4ErYZudJaBpbrAD,2026-03-04T03:30:00.000Z,Los Angeles Lakers,New Orleans Pelicans,Final
d3z02V34RTZIpg0Q6FUt,2026-03-04T04:00:00.000Z,Sacramento Kings,Phoenix Suns,Final
mIBtK8wmc0k1knQypi1P,2026-03-05T00:00:00.000Z,New York Knicks,Oklahoma City Thunder,Final
2Ob2Ucy6OzU3uhNgLNyE,2026-03-05T00:30:00.000Z,Boston Celtics,Charlotte Hornets,Final
TJpfVhvreA5lbOGzjubf,2026-03-05T00:30:00.000Z,Philadelphia 76ers,Utah Jazz,Final
BVZysmesrGz0QbjpVEta,2026-03-05T01:00:00.000Z,Memphis Grizzlies,Portland Trail Blazers,Final
woSwe9QY7FHVMvICLLwO,2026-03-05T02:30:00.000Z,Milwaukee Bucks,Atlanta Hawks,Final
rZsjQIN1M2Z1BzA5Nmbm,2026-03-05T03:30:00.000Z,Los Angeles Clippers,Indiana Pacers,Final
UbqhZOPbvnLQfJne8zha,2026-03-06T00:00:00.000Z,Orlando Magic,Dallas Mavericks,Final
bSSk6SZjrOgCrcpZlPtx,2026-03-06T00:00:00.000Z,Washington Wizards,Utah Jazz,Final
5z3kXh4Uj72HlVY39Cu8,2026-03-06T00:30:00.000Z,Houston Rockets,Golden State Warriors,Final (Overtime)
niJcgaon2YYIB5snwJI6,2026-03-06T00:30:00.000Z,Miami Heat,Brooklyn Nets,Final
2Sz1PfXhH60CmpKZMMVA,2026-03-06T01:00:00.000Z,Minnesota Timberwolves,Toronto Raptors,Final
OxAz5U173tfYXRGfF0Wk,2026-03-06T01:00:00.000Z,San Antonio Spurs,Detroit Pistons,Final
wgUIio8niIGQhnAONlX7,2026-03-06T02:00:00.000Z,Phoenix Suns,Chicago Bulls,Final
2ym0mK38AOWb6anBxTEO,2026-03-06T03:00:00.000Z,Sacramento Kings,New Orleans Pelicans,Final
FO06ahVFcwBGPD3cK1AF,2026-03-06T03:00:00.000Z,Denver Nuggets,Los Angeles Lakers,Final
9yht9FUuHvnfF3zVsnuE,2026-03-07T00:00:00.000Z,Charlotte Hornets,Miami Heat,Final
lkMVyr1hSe9Sev9RLutN,2026-03-07T00:00:00.000Z,Boston Celtics,Dallas Mavericks,Final
9dYbtG9XRhJq6Q4drreJ,2026-03-07T01:00:00.000Z,Houston Rockets,Portland Trail Blazers,Final
VDRT6725WtTdFi2jI7Oq,2026-03-07T02:00:00.000Z,Denver Nuggets,New York Knicks,Final
g2bzegUBJW1x5TJ6hQO2,2026-03-07T02:00:00.000Z,Phoenix Suns,New Orleans Pelicans,Final
IWT20niE9M18jqtwf8Cd,2026-03-07T02:30:00.000Z,San Antonio Spurs,Los Angeles Clippers,Final
zFP8fnuU7gtpNclAPClE,2026-03-07T03:30:00.000Z,Los Angeles Lakers,Indiana Pacers,Final
VDYDI3sSUdVtDOGxvzwE,2026-03-07T20:00:00.000Z,Minnesota Timberwolves,Orlando Magic,Final
fQ7x1RoKgoxrzS13Bvro,2026-03-07T23:00:00.000Z,Detroit Pistons,Brooklyn Nets,Final
zPpNCQlTzH0G8ZjZJQgF,2026-03-07T23:00:00.000Z,Atlanta Hawks,Philadelphia 76ers,Final
EUMJta5hLZBf5o75XAxJ,2026-03-08T01:00:00.000Z,Milwaukee Bucks,Utah Jazz,Final
Oq7jCTVi7gdErZu9m5BJ,2026-03-08T01:00:00.000Z,Memphis Grizzlies,Los Angeles Clippers,Final
iq6dQ8AMjjcxhosP2XnM,2026-03-08T01:30:00.000Z,Oklahoma City Thunder,Golden State Warriors,Final
