"date","sport","game_id","game","game_time","player","prop_type","market","line","odds","implied_probability","bookmaker","collected_at"
"2026-03-31","NBA","8c95b58e16520c12308e0196b0c19198","Phoenix Suns @ Orlando Magic","2026-03-31T23:10:00Z","Paolo Banchero","player_assists","Over","5.5","2.26","44.2","FanDuel","2026-03-31 11:29:41"
"2026-03-31","NBA","8c95b58e16520c12308e0196b0c19198","Phoenix Suns @ Orlando Magic","2026-03-31T23:10:00Z","Paolo Banchero","player_assists","Under","5.5","1.6","62.5","FanDuel","2026-03-31 11:29:41"
"2026-03-31","NBA","8c95b58e16520c12308e0196b0c19198","Phoenix Suns @ Orlando Magic","2026-03-31T23:10:00Z","Desmond Bane","player_assists","Over","3.5","1.62","61.7","FanDuel","2026-03-31 11:29:41"
"2026-03-31","NBA","8c95b58e16520c12308e0196b0c19198","Phoenix Suns @ Orlando Magic","2026-03-31T23:10:00Z","Desmond Bane","player_assists","Under","3.5","2.22","45.0","FanDuel","2026-03-31 11:29:41"
"2026-03-31","NBA","8c95b58e16520c12308e0196b0c19198","Phoenix Suns @ Orlando Magic","2026-03-31T23:10:00Z","Collin Gillespie","player_assists","Over","3.5","1.62","61.7","FanDuel","2026-03-31 11:29:41"
"2026-03-31","NBA","8c95b58e16520c12308e0196b0c19198","Phoenix Suns @ Orlando Magic","2026-03-31T23:10:00Z","Collin Gillespie","player_assists","Under","3.5","2.2","45.5","FanDuel","2026-03-31 11:29:41"
"2026-03-31","NBA","8c95b58e16520c12308e0196b0c19198","Phoenix Suns @ Orlando Magic","2026-03-31T23:10:00Z","Jalen Green","player_assists","Over","3.5","2.22","45.0","FanDuel","2026-03-31 11:29:41"
"2026-03-31","NBA","8c95b58e16520c12308e0196b0c19198","Phoenix Suns @ Orlando Magic","2026-03-31T23:10:00Z","Jalen Green","player_assists","Under","3.5","1.62","61.7","FanDuel","2026-03-31 11:29:41"
"2026-03-31","NBA","8c95b58e16520c12308e0196b0c19198","Phoenix Suns @ Orlando Magic","2026-03-31T23:10:00Z","Jalen Suggs","player_assists","Over","5.5","1.94","51.5","FanDuel","2026-03-31 11:29:41"
"2026-03-31","NBA","8c95b58e16520c12308e0196b0c19198","Phoenix Suns @ Orlando Magic","2026-03-31T23:10:00Z","Jalen Suggs","player_assists","Under","5.5","1.8","55.6","FanDuel","2026-03-31 11:29:41"
"2026-03-31","NBA","8c95b58e16520c12308e0196b0c19198","Phoenix Suns @ Orlando Magic","2026-03-31T23:10:00Z","Devin Booker","player_assists","Over","5.5","1.71","58.5","FanDuel","2026-03-31 11:29:41"
"2026-03-31","NBA","8c95b58e16520c12308e0196b0c19198","Phoenix Suns @ Orlando Magic","2026-03-31T23:10:00Z","Devin Booker","player_assists","Under","5.5","2.06","48.5","FanDuel","2026-03-31 11:29:41"
"2026-03-31","NBA","8c95b58e16520c12308e0196b0c19198","Phoenix Suns @ Orlando Magic","2026-03-31T23:10:00Z","Grayson Allen","player_assists","Over","3.5","2.3","43.5","FanDuel","2026-03-31 11:29:41"
