Sport,id,player,team,stat,line,league,book,overOdds,underOdds,trueProb,edge,legEv,runTimestamp,gameTime,IsWithin24h,leg_key,leg_label,confidenceDelta
NBA,pp-mock-14-assists-6,D.J. Augustin,T5,assists,6,NBA,fanduel,-80,60,0.5770000000000001,0.06,0.06,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-19-rebounds-8,Wendell Carter Jr.,T5,rebounds,8,NBA,fanduel,-55,35,0.622,0.06,0.06,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-4-rebounds-7,Luka Dončić,T5,rebounds,7,NBA,fanduel,-130,110,0.5860000000000001,0.06,0.06,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-9-points-23,Marcus Morris Sr.,T5,points,23,NBA,fanduel,-105,85,0.631,0.06,0.06,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-13-rebounds-6,T.J. McConnell,T4,rebounds,6,NBA,fanduel,-85,65,0.5680000000000001,0.05,0.05,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-18-points-20,Kelly Oubre Jr.,T4,points,20,NBA,fanduel,-60,40,0.613,0.05,0.05,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-3-points-25,Jayson Tatum,T4,points,25,NBA,fanduel,-135,115,0.5770000000000001,0.05,0.05,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-8-assists-4,Karl-Anthony Towns,T4,assists,4,NBA,fanduel,-110,90,0.622,0.05,0.05,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-12-points-18,C.J. McCollum,T3,points,18,NBA,fanduel,-90,70,0.559,0.04,0.04,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-17-assists-7,Gary Payton II,T3,assists,7,NBA,fanduel,-65,45,0.6040000000000001,0.04,0.04,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-2-assists-6,Nikola Jokić,T3,assists,6,NBA,fanduel,-140,120,0.5680000000000001,0.04,0.04,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-7-rebounds-8,De'Aaron Fox,T3,rebounds,8,NBA,fanduel,-115,95,0.613,0.04,0.04,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-1-rebounds-6,Stephen Curry,T2,rebounds,6,NBA,fanduel,-145,125,0.559,0.03,0.03,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-11-assists-9,Bam Adebayo,T2,assists,9,NBA,fanduel,-95,75,0.55,0.03,0.03,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-16-rebounds-7,Jaren Jackson Jr.,T2,rebounds,7,NBA,fanduel,-70,50,0.5950000000000001,0.03,0.03,2026-03-13T21:42:33 ET,,,,,
NBA,pp-mock-6-points-20,Giannis Antetokounmpo,T2,points,20,NBA,fanduel,-120,100,0.6040000000000001,0.03,0.03,2026-03-13T21:42:33 ET,,,,,
