Sport,id,player,team,stat,line,league,book,overOdds,underOdds,trueProb,edge,legEv,runTimestamp,gameTime,IsWithin24h,IsNonStandardOdds,leg_key,leg_label
NBA,underdog-6f51b055-d07b-4300-9588-ec27ee3d4717-points-25.5,Kevin Durant,HOU,points,25.5,NBA,DraftKings,-121,-105,0.5119022822626239,0.011902282262623909,0.011902282262623909,2026-03-12T22:52:29 ET,2026-03-14T00:00:00Z,TRUE,TRUE,underdog:kevin durant:points:25.5:over:game,Kevin Durant - Points - 25.5
NBA,underdog-217e74cc-58f7-486d-b7dc-b9c2114b270a-rebounds-8.5,Alperen Sengun,HOU,rebounds,8.5,NBA,DraftKings,-122,-108,0.5101313016696385,0.010131301669638493,0.010131301669638493,2026-03-12T22:52:29 ET,2026-03-14T00:00:00Z,TRUE,TRUE,underdog:alperen sengun:rebounds:8.5:over:game,Alperen Sengun - Rebounds - 8.5
NBA,underdog-e8ecdd34-4047-4938-9ff5-d9afd5b425d8-points-15.5,Jabari Smith Jr.,HOU,points,15.5,NBA,Underdog,-191,-128,0.538987078568246,0.038987078568246014,0.038987078568246014,2026-03-12T22:52:29 ET,2026-03-14T00:00:00Z,TRUE,TRUE,underdog:jabari smith:points:15.5:over:game,Jabari Smith Jr. - Points - 15.5
NBA,underdog-aaa426a0-90b7-44a6-9f17-f2e92a77d182-rebounds-6.5,Jabari Smith Jr.,HOU,rebounds,6.5,NBA,DraftKings,-129,-102,0.5195136335252897,0.019513633525289675,0.019513633525289675,2026-03-12T22:52:29 ET,2026-03-14T00:00:00Z,TRUE,TRUE,underdog:jabari smith:rebounds:6.5:over:game,Jabari Smith Jr. - Rebounds - 6.5
NBA,underdog-3f395ef3-117c-47c5-818f-6380f87587a6-points-14.5,Reed Sheppard,HOU,points,14.5,NBA,DraftKings,-119,-107,0.5089163115002586,0.008916311500258622,0.008916311500258622,2026-03-12T22:52:29 ET,2026-03-14T00:00:00Z,TRUE,TRUE,underdog:reed sheppard:points:14.5:over:game,Reed Sheppard - Points - 14.5
NBA,underdog-9e986085-961c-46c7-98bc-2eba88136a94-rebounds-2.5,Reed Sheppard,HOU,rebounds,2.5,NBA,DraftKings,-156,119,0.5597070700310107,0.05970707003101072,0.05970707003101072,2026-03-12T22:52:29 ET,2026-03-14T00:00:00Z,TRUE,TRUE,underdog:reed sheppard:rebounds:2.5:over:game,Reed Sheppard - Rebounds - 2.5
NBA,underdog-06542204-fa91-4f97-82e9-babfe17d187a-rebounds-3.5,Jerami Grant,POR,rebounds,3.5,NBA,Underdog,-137,-137,0.5145032632342278,0.014503263234227792,0.014503263234227792,2026-03-12T22:52:29 ET,2026-03-14T02:00:00Z,TRUE,TRUE,underdog:jerami grant:rebounds:3.5:over:game,Jerami Grant - Rebounds - 3.5
NBA,underdog-e9af1d31-4d95-466c-ac19-0e9643b6e7d1-points-17.5,Ace Bailey,UTA,points,17.5,NBA,Underdog,-137,-137,0.5089163115002586,0.008916311500258622,0.008916311500258622,2026-03-12T22:52:29 ET,2026-03-14T02:00:00Z,TRUE,TRUE,underdog:ace bailey:points:17.5:over:game,Ace Bailey - Points - 17.5
NBA,underdog-b63a7d71-87fc-4fa4-9d78-7a897154ec1c-assists-1.5,Ace Bailey,UTA,assists,1.5,NBA,Underdog,-137,-137,0.5340943516108191,0.034094351610819085,0.034094351610819085,2026-03-12T22:52:29 ET,2026-03-14T02:00:00Z,TRUE,TRUE,underdog:ace bailey:assists:1.5:over:game,Ace Bailey - Assists - 1.5
NBA,underdog-8ad1d65c-63ba-4300-b41c-edc24f68e456-points-12.5,Kyle Filipowski,UTA,points,12.5,NBA,DraftKings,-125,-102,0.5238589211618258,0.023858921161825752,0.023858921161825752,2026-03-12T22:52:29 ET,2026-03-14T02:00:00Z,TRUE,TRUE,underdog:kyle filipowski:points:12.5:over:game,Kyle Filipowski - Points - 12.5
