Sport,id,player,team,opponent,stat,line,league,book,overOdds,underOdds,trueProb,edge,legEv,runTimestamp,gameTime,IsWithin24h,IsNonStandardOdds,leg_key,leg_label,scoringWeight,udPickFactor,lineMovDir
NBA,underdog-a089c5ef-529c-45d3-8f85-c9cbb84c8fb2-points-11.5,LeBron James,LAL,HOU,points,11.5,NBA,FanDuel,-750,430,0.8238341968911918,-0.05851874428527881,0.32383419689119175,2026-03-16T21:19:25 ET,2026-03-17T01:30:00Z,TRUE,TRUE,underdog:lebron james:points:11.5:over:game,LeBron James - Points - 11.5,1,1,
NBA,underdog-d2b4dcf3-5a4e-415b-b9ce-5e9ece3eba2e-steals-1.5,LeBron James,LAL,HOU,steals,1.5,NBA,DraftKings,-237,175,0.659165613147914,-0.044098481807575585,0.159165613147914,2026-03-16T21:19:25 ET,2026-03-17T01:30:00Z,TRUE,TRUE,underdog:lebron james:steals:1.5:over:game,LeBron James - Steals - 1.5,1,1.06,
NBA,underdog-348a0f38-07f8-45c0-89fd-e73f32dcbf0b-steals-1.5,Kevin Durant,HOU,LAL,steals,1.5,NBA,DraftKings,-201,150,0.6253889234598632,-0.0423851629188744,0.1253889234598632,2026-03-16T21:19:25 ET,2026-03-17T01:30:00Z,TRUE,TRUE,underdog:kevin durant:steals:1.5:over:game,Kevin Durant - Steals - 1.5,1,1.2,
NBA,underdog-79e5a344-67ee-4fc1-b291-a6593dbdadb4-points-19.5,Kevin Durant,HOU,LAL,points,19.5,NBA,FanDuel,-700,410,0.816933638443936,-0.05806636155606404,0.31693363844393596,2026-03-16T21:19:25 ET,2026-03-17T01:30:00Z,TRUE,TRUE,underdog:kevin durant:points:19.5:over:game,Kevin Durant - Points - 19.5,1,1.04,
NBA,underdog-e7f9ab69-35bb-4871-bab1-4335670bfc54-steals-1.5,Austin Reaves,LAL,HOU,steals,1.5,NBA,DraftKings,-202,150,0.6257744733581164,-0.043099698827314015,0.12577447335811642,2026-03-16T21:19:25 ET,2026-03-17T01:30:00Z,TRUE,TRUE,underdog:austin reaves:steals:1.5:over:game,Austin Reaves - Steals - 1.5,1,1.14,
NBA,underdog-299a6f5c-f82f-40f4-9155-23f2e0aef3ca-points-9.5,Deandre Ayton,LAL,HOU,points,9.5,NBA,FanDuel,-120,-106,0.5059572951536339,-0.03949725030091156,0.005957295153633857,2026-03-16T21:19:25 ET,2026-03-17T01:30:00Z,TRUE,FALSE,underdog:deandre ayton:points:9.5:over:game,Deandre Ayton - Points - 9.5,1,1,
NBA,underdog-54f46dbb-028d-419e-8434-7703ae48dfd8-points-9.5,Jabari Smith Jr.,HOU,LAL,points,9.5,NBA,FanDuel,-900,490,0.8415213946117275,-0.05847860538827254,0.3415213946117275,2026-03-16T21:19:25 ET,2026-03-17T01:30:00Z,TRUE,TRUE,underdog:jabari smith:points:9.5:over:game,Jabari Smith Jr. - Points - 9.5,1,1,
NBA,underdog-1d30954b-4179-4bfa-8b98-7564d3ca78f9-steals-1.5,Jabari Smith Jr.,HOU,LAL,steals,1.5,NBA,DraftKings,-162,122,0.5785341998584389,-0.03978641082858403,0.0785341998584389,2026-03-16T21:19:25 ET,2026-03-17T01:30:00Z,TRUE,TRUE,underdog:jabari smith:steals:1.5:over:game,Jabari Smith Jr. - Steals - 1.5,1,1.26,
NBA,underdog-b4134064-d2b4-486d-9a04-388dab5ced95-points-14.5,Reed Sheppard,HOU,LAL,points,14.5,NBA,FanDuel,-180,134,0.600684540787222,-0.042172602069920906,0.100684540787222,2026-03-16T21:19:25 ET,2026-03-17T01:30:00Z,TRUE,TRUE,underdog:reed sheppard:points:14.5:over:game,Reed Sheppard - Points - 14.5,1,1,
NBA,underdog-eba6c500-e918-40d9-b90f-198010b2bdea-points-19.5,Amen Thompson,HOU,LAL,points,19.5,NBA,FanDuel,-120,-106,0.5099398974230135,-0.035514648031531926,0.009939897423013488,2026-03-16T21:19:25 ET,2026-03-17T01:30:00Z,TRUE,TRUE,underdog:amen thompson:points:19.5:over:game,Amen Thompson - Points - 19.5,1,1,
NBA,underdog-306bbd7f-0db3-471c-968c-e4bfd983636f-points-10.5,Tari Eason,HOU,LAL,points,10.5,NBA,FanDuel,-146,110,0.5291721867266572,-0.06432374823269238,0.029172186726657223,2026-03-16T21:19:25 ET,2026-03-17T01:30:00Z,TRUE,FALSE,underdog:tari eason:points:10.5:over:game,Tari Eason - Points - 10.5,1,1,
NBA,underdog-50ae1e5d-615b-4a7c-85dc-ac8876347bb4-points-21.5,Victor Wembanyama,SAS,LAC,points,21.5,NBA,FanDuel,-250,182,0.6682464454976303,-0.046039268788083954,0.16824644549763035,2026-03-16T21:19:25 ET,2026-03-17T02:00:00Z,TRUE,TRUE,underdog:victor wembanyama:points:21.5:over:game,Victor Wembanyama - Points - 21.5,1,1,
NBA,underdog-622e590f-3f15-4f0e-9c78-74072179ef00-points-15.5,Darius Garland,LAC,SAS,points,15.5,NBA,FanDuel,-350,240,0.7256097560975611,-0.052168021680216725,0.22560975609756106,2026-03-16T21:19:25 ET,2026-03-17T02:00:00Z,TRUE,TRUE,underdog:darius garland:points:15.5:over:game,Darius Garland - Points - 15.5,1,1.05,
NBA,underdog-41a55e58-07bc-40d2-accd-dc5936a21040-points-13.5,Devin Vassell,SAS,LAC,points,13.5,NBA,FanDuel,-122,-104,0.5093895552158889,-0.04015999433366069,0.009389555215888912,2026-03-16T21:19:25 ET,2026-03-17T02:00:00Z,TRUE,TRUE,underdog:devin vassell:points:13.5:over:game,Devin Vassell - Points - 13.5,1,1,
NBA,underdog-84e34d07-bd25-4468-b942-844dab4e3a01-points-12.5,Stephon Castle,SAS,LAC,points,12.5,NBA,FanDuel,-400,270,0.7474747474747474,-0.05252525252525264,0.2474747474747474,2026-03-16T21:19:25 ET,2026-03-17T02:00:00Z,TRUE,FALSE,underdog:stephon castle:points:12.5:over:game,Stephon Castle - Points - 12.5,1,1,
NBA,underdog-93a54aac-a175-4c5e-9830-0712fc458075-rebounds-5.5,Bennedict Mathurin,LAC,SAS,rebounds,5.5,NBA,FanDuel,-113,-113,0.5099934968699518,-0.020522935054930858,0.009993496869951768,2026-03-16T21:19:25 ET,2026-03-17T02:00:00Z,TRUE,FALSE,underdog:bennedict mathurin:rebounds:5.5:over:game,Bennedict Mathurin - Rebounds - 5.5,1,1,
NBA,underdog-b01e89aa-4eff-45ea-83c3-c1bbed04c216-points-15.5,Bennedict Mathurin,LAC,SAS,points,15.5,NBA,FanDuel,-390,265,0.7439247452312516,-0.051993622115687144,0.24392474523125163,2026-03-16T21:19:25 ET,2026-03-17T02:00:00Z,TRUE,TRUE,underdog:bennedict mathurin:points:15.5:over:game,Bennedict Mathurin - Points - 15.5,1,1,
NBA,underdog-9aaaf91b-7038-4048-93e7-9f7e1f889a28-points-6.5,Julian Champagnie,SAS,LAC,points,6.5,NBA,FanDuel,-470,310,0.7717260712855426,-0.05283533222322934,0.2717260712855426,2026-03-16T21:19:25 ET,2026-03-17T02:00:00Z,TRUE,TRUE,underdog:julian champagnie:points:6.5:over:game,Julian Champagnie - Points - 6.5,1,1.04,
