Sport,id,player,team,opponent,stat,line,league,book,overOdds,underOdds,trueProb,edge,legEv,runTimestamp,gameTime,IsWithin24h,leg_key,leg_label,confidenceDelta,lineMovDir,scoringWeight
NBA,prizepicks-10631827-points-15.5,Amen Thompson,HOU,LAL,points,15.5,NBA,FanDuel,-350,240,0.5,0.2181097560975611,0.2181097560975611,2026-03-16T21:19:08 ET,2026-03-16T21:40:00.000-04:00,TRUE,prizepicks:amen thompson:points:15.5:over:game,Amen Thompson - Points - 15.5,,,0.95
NBA,prizepicks-10617121-points-7.5,Brook Lopez,LAC,SAS,points,7.5,NBA,FanDuel,-220,162,0.5,0.18301651048639,0.18301651048639,2026-03-16T21:19:08 ET,2026-03-16T22:10:00.000-04:00,TRUE,prizepicks:brook lopez:points:7.5:over:game,Brook Lopez - Points - 7.5,,,0.95
NBA,prizepicks-10619950-points-12.5,Reed Sheppard,HOU,LAL,points,12.5,NBA,FanDuel,-280,200,0.5,0.18102459016393446,0.18102459016393446,2026-03-16T21:19:08 ET,2026-03-16T21:40:00.000-04:00,TRUE,prizepicks:reed sheppard:points:12.5:over:game,Reed Sheppard - Points - 12.5,,,0.95
NBA,prizepicks-10619985-points-8.5,Tari Eason,HOU,LAL,points,8.5,NBA,FanDuel,-280,200,0.5,0.18102459016393446,0.18102459016393446,2026-03-16T21:19:08 ET,2026-03-16T21:40:00.000-04:00,TRUE,prizepicks:tari eason:points:8.5:over:game,Tari Eason - Points - 8.5,,,0.95
NBA,prizepicks-10618001-threes-0.5,Luke Kennard,LAL,HOU,threes,0.5,NBA,theScore Bet,-300,220,0.5,0.17738235294117655,0.17738235294117655,2026-03-16T21:19:08 ET,2026-03-16T21:40:00.000-04:00,TRUE,prizepicks:luke kennard:threes:0.5:over:game,Luke Kennard - Threes - 0.5,,,0.95
NBA,prizepicks-10620187-points-23.5,Kevin Durant,HOU,LAL,points,23.5,NBA,FanDuel,-260,188,0.5,0.16782467532467538,0.16782467532467538,2026-03-16T21:19:08 ET,2026-03-16T21:40:00.000-04:00,TRUE,prizepicks:kevin durant:points:23.5:over:game,Kevin Durant - Points - 23.5,,,0.95
NBA,prizepicks-10625329-points-11.5,John Collins,LAC,SAS,points,11.5,NBA,FanDuel,-198,146,0.5,0.16042084883069252,0.16042084883069252,2026-03-16T21:19:08 ET,2026-03-16T22:10:00.000-04:00,TRUE,prizepicks:john collins:points:11.5:over:game,John Collins - Points - 11.5,,,0.95
NBA,prizepicks-10617321-points-8.5,Julian Champagnie,SAS,LAC,points,8.5,NBA,FanDuel,-225,162,0.5,0.14611454346637498,0.14611454346637498,2026-03-16T21:19:08 ET,2026-03-16T22:10:00.000-04:00,TRUE,prizepicks:julian champagnie:points:8.5:over:game,Julian Champagnie - Points - 8.5,,,0.95
NBA,prizepicks-10618749-points-11.5,Devin Vassell,SAS,LAC,points,11.5,NBA,FanDuel,-220,162,0.5,0.14451651048638992,0.14451651048638992,2026-03-16T21:19:08 ET,2026-03-16T22:10:00.000-04:00,TRUE,prizepicks:devin vassell:points:11.5:over:game,Devin Vassell - Points - 11.5,,,0.95
NBA,prizepicks-10619844-points-13.5,Jabari Smith,HOU,LAL,points,13.5,NBA,FanDuel,-230,168,0.5,0.14381022823330525,0.14381022823330525,2026-03-16T21:19:08 ET,2026-03-16T21:40:00.000-04:00,TRUE,prizepicks:jabari smith:points:13.5:over:game,Jabari Smith - Points - 13.5,,,0.95
NBA,prizepicks-10631847-points-10.5,Derrick Jones,LAC,SAS,points,10.5,NBA,FanDuel,-180,134,0.5,0.14068454078722203,0.14068454078722203,2026-03-16T21:19:08 ET,2026-03-16T22:10:00.000-04:00,TRUE,prizepicks:derrick jones:points:10.5:over:game,Derrick Jones - Points - 10.5,,,0.95
NBA,prizepicks-10618182-points-7.5,Deandre Ayton,LAL,HOU,points,7.5,NBA,FanDuel,-245,178,0.5,0.13827546048143458,0.13827546048143458,2026-03-16T21:19:08 ET,2026-03-16T21:40:00.000-04:00,TRUE,prizepicks:deandre ayton:points:7.5:over:game,Deandre Ayton - Points - 7.5,,,0.95
NBA,prizepicks-10620928-threes-1.5,Jalen Green,PHX,BOS,threes,1.5,NBA,FanDuel,-245,178,0.5,0.12610539769564233,0.12610539769564233,2026-03-16T21:19:08 ET,2026-03-16T19:42:00.000-04:00,FALSE,prizepicks:jalen green:threes:1.5:over:game,Jalen Green - Threes - 1.5,,,0.95
NBA,prizepicks-10617199-points-16.5,De'Aaron Fox,SAS,LAC,points,16.5,NBA,FanDuel,-200,148,0.5,0.12461557788944722,0.12461557788944722,2026-03-16T21:19:08 ET,2026-03-16T22:10:00.000-04:00,TRUE,prizepicks:deaaron fox:points:16.5:over:game,De'Aaron Fox - Points - 16.5,,,0.95
NBA,prizepicks-10622551-points-10.5,Keldon Johnson,SAS,LAC,points,10.5,NBA,FanDuel,-192,142,0.5,0.11558331571156688,0.11558331571156688,2026-03-16T21:19:08 ET,2026-03-16T22:10:00.000-04:00,TRUE,prizepicks:keldon johnson:points:10.5:over:game,Keldon Johnson - Points - 10.5,,,0.95
NBA,prizepicks-10616882-assists-6.5,Naji Marshall,DAL,NOP,assists,6.5,NBA,theScore Bet,-165,125,0.5,0.1119970530451867,0.1119970530451867,2026-03-16T21:19:08 ET,2026-03-16T20:11:00.000-04:00,FALSE,prizepicks:naji marshall:assists:6.5:over:game,Naji Marshall - Assists - 6.5,,,1.05
NBA,prizepicks-10626105-points-6.5,Marcus Smart,LAL,HOU,points,6.5,NBA,FanDuel,-205,152,0.5,0.1032731256085686,0.1032731256085686,2026-03-16T21:19:08 ET,2026-03-16T21:40:00.000-04:00,TRUE,prizepicks:marcus smart:points:6.5:over:game,Marcus Smart - Points - 6.5,,,0.95
NBA,prizepicks-10621165-rebounds-4.5,Payton Pritchard,BOS,PHX,rebounds,4.5,NBA,FanDuel,-154,116,0.5,0.10212902119762757,0.10212902119762757,2026-03-16T21:19:08 ET,2026-03-16T19:42:00.000-04:00,FALSE,prizepicks:payton pritchard:rebounds:4.5:over:game,Payton Pritchard - Rebounds - 4.5,,,1.05
NBA,prizepicks-10620669-assists-6.5,Jaylen Brown,BOS,PHX,assists,6.5,NBA,FanDuel,-166,124,0.5,0.0968736041253564,0.0968736041253564,2026-03-16T21:19:08 ET,2026-03-16T19:42:00.000-04:00,FALSE,prizepicks:jaylen brown:assists:6.5:over:game,Jaylen Brown - Assists - 6.5,,,1.05
NBA,prizepicks-10623777-rebounds-2.5,Olivier-Maxence Prosper,MEM,CHI,rebounds,2.5,NBA,FanDuel,-158,118,0.5,0.0951241717198873,0.0951241717198873,2026-03-16T21:19:08 ET,2026-03-16T20:10:00.000-04:00,FALSE,prizepicks:olivier-maxence prosper:rebounds:2.5:over:game,Olivier-Maxence Prosper - Rebounds - 2.5,,,0.95
NBA,prizepicks-10618124-points-17.5,Austin Reaves,LAL,HOU,points,17.5,NBA,FanDuel,-198,146,0.5,0.09492084883069252,0.09492084883069252,2026-03-16T21:19:08 ET,2026-03-16T21:40:00.000-04:00,TRUE,prizepicks:austin reaves:points:17.5:over:game,Austin Reaves - Points - 17.5,,,0.95
NBA,prizepicks-10624013-threes-2.5,Cedric Coward,MEM,CHI,threes,2.5,NBA,FanDuel,-198,146,0.5,0.09434090189755251,0.09434090189755251,2026-03-16T21:19:08 ET,2026-03-16T20:10:00.000-04:00,FALSE,prizepicks:cedric coward:threes:2.5:over:game,Cedric Coward - Threes - 2.5,,,0.95
NBA,prizepicks-10617166-pra-27.5,Darius Garland,LAC,SAS,pra,27.5,NBA,FanDuel,-125,-102,0.5,0.09385892116182581,0.09385892116182581,2026-03-16T21:19:08 ET,2026-03-16T22:10:00.000-04:00,TRUE,prizepicks:darius garland:pra:27.5:over:game,Darius Garland - Pra - 27.5,,,0.95
NBA,prizepicks-10618104-points-19.5,Bennedict Mathurin,LAC,SAS,points,19.5,NBA,FanDuel,-142,110,0.5,0.09268100750606645,0.09268100750606645,2026-03-16T21:19:08 ET,2026-03-16T22:10:00.000-04:00,TRUE,prizepicks:bennedict mathurin:points:19.5:over:game,Bennedict Mathurin - Points - 19.5,,,0.95
NBA,prizepicks-10622928-threes-0.5,Jalen Smith,CHI,MEM,threes,0.5,NBA,FanDuel,-240,174,0.5,0.08611064998849949,0.08611064998849949,2026-03-16T21:19:08 ET,2026-03-16T20:10:00.000-04:00,FALSE,prizepicks:jalen smith:threes:0.5:over:game,Jalen Smith - Threes - 0.5,,,0.95
NBA,prizepicks-10617400-points-15.5,Stephon Castle,SAS,LAC,points,15.5,NBA,FanDuel,-166,124,0.5,0.0846329958896147,0.0846329958896147,2026-03-16T21:19:08 ET,2026-03-16T22:10:00.000-04:00,TRUE,prizepicks:stephon castle:points:15.5:over:game,Stephon Castle - Points - 15.5,,,0.95
NBA,prizepicks-10623093-rebounds-5.5,Bilal Coulibaly,WAS,GSW,rebounds,5.5,NBA,FanDuel,-162,122,0.5,0.08003419985843885,0.08003419985843885,2026-03-16T21:19:08 ET,2026-03-16T19:10:00.000-04:00,FALSE,prizepicks:bilal coulibaly:rebounds:5.5:over:game,Bilal Coulibaly - Rebounds - 5.5,,,1.05
NBA,prizepicks-10644166-rebounds-5.5,Tyler Herro,MIA,CHA,rebounds,5.5,NBA,Underdog,-220,-117,0.5,0.0799602019253346,0.0799602019253346,2026-03-16T21:19:08 ET,2026-03-17T19:10:00.000-04:00,TRUE,prizepicks:tyler herro:rebounds:5.5:over:game,Tyler Herro - Rebounds - 5.5,,,1.05
NBA,prizepicks-10640857-points-13.5,Jordan Miller,LAC,SAS,points,13.5,NBA,Underdog,-185,-130,0.5,0.07454773869346731,0.07454773869346731,2026-03-16T21:19:08 ET,2026-03-16T22:10:00.000-04:00,TRUE,prizepicks:jordan miller:points:13.5:over:game,Jordan Miller - Points - 13.5,,,1.05
NBA,prizepicks-10644055-points_rebounds-19,Moussa Diabaté,CHA,,points_rebounds,19,NBA,Underdog_synth,-132.73400959727877,132.73400959727877,0.5,0.07032493801383277,0.07032493801383277,2026-03-16T21:19:08 ET,2026-03-17T19:10:00.000-04:00,TRUE,prizepicks:moussa diabate:points_rebounds:19:over:game,Moussa Diabaté - Points Rebounds - 19,,,1
