Sport,id,player,team,stat,line,league,book,overOdds,underOdds,trueProb,edge,legEv,runTimestamp,gameTime,IsWithin24h,IsNonStandardOdds,leg_key,leg_label
NBA,underdog-614d4b42-b9bb-41ae-8e1f-d54cb43b35e9-assists-2.5,Jaden McDaniels,MIN,assists,2.5,NBA,FanDuel,-130,102,0.5121730837802644,0.012173083780264382,0.012173083780264382,2026-03-13T21:42:35 ET,2026-03-14T02:00:00Z,TRUE,FALSE,underdog:jaden mcdaniels:assists:2.5:over:game,Jaden McDaniels - Assists - 2.5
NBA,underdog-ed11e008-20a2-4e0d-8626-36e5a158ac50-points-9.5,Al Horford,GSW,points,9.5,NBA,theScore Bet,-165,125,0.5834970530451867,0.08349705304518673,0.08349705304518673,2026-03-13T21:42:35 ET,2026-03-14T02:00:00Z,TRUE,TRUE,underdog:al horford:points:9.5:over:game,Al Horford - Points - 9.5
NBA,underdog-b3726bd8-f5f4-4809-9502-3185f5a11939-points-19.5,Jerami Grant,POR,points,19.5,NBA,FanDuel,-125,-102,0.5054162042498277,0.005416204249827694,0.005416204249827694,2026-03-13T21:42:35 ET,2026-03-14T02:00:00Z,TRUE,FALSE,underdog:jerami grant:points:19.5:over:game,Jerami Grant - Points - 19.5
NBA,underdog-ba1cd88e-56e9-4a3c-88dc-9d4be617a566-assists-5.5,Jrue Holiday,POR,assists,5.5,NBA,FanDuel,-122,-104,0.5137047045122547,0.013704704512254695,0.013704704512254695,2026-03-13T21:42:35 ET,2026-03-14T02:00:00Z,TRUE,FALSE,underdog:jrue holiday:assists:5.5:over:game,Jrue Holiday - Assists - 5.5
NBA,underdog-fc0c4aa5-ff38-4a3b-beef-ed888385898e-points-10.5,Jrue Holiday,POR,points,10.5,NBA,FanDuel,-650,390,0.8094027954256671,0.30940279542566707,0.30940279542566707,2026-03-13T21:42:35 ET,2026-03-14T02:00:00Z,TRUE,TRUE,underdog:jrue holiday:points:10.5:over:game,Jrue Holiday - Points - 10.5
NBA,underdog-87b939d7-bff4-403f-9582-b1efe09bf485-points-22.5,Deni Avdija,POR,points,22.5,NBA,FanDuel,-113,-113,0.5085819107741052,0.008581910774105195,0.008581910774105195,2026-03-13T21:42:35 ET,2026-03-14T02:00:00Z,TRUE,TRUE,underdog:deni avdija:points:22.5:over:game,Deni Avdija - Points - 22.5
NBA,underdog-9029601b-1da2-4b45-96e7-b15af00038f4-points-7.5,Toumani Camara,POR,points,7.5,NBA,FanDuel,-700,410,0.816933638443936,0.31693363844393596,0.31693363844393596,2026-03-13T21:42:35 ET,2026-03-14T02:00:00Z,TRUE,FALSE,underdog:toumani camara:points:7.5:over:game,Toumani Camara - Points - 7.5
NBA,underdog-04ca395e-fb6e-4af2-95b1-a3ed49cbef2e-points-15.5,Isaiah Collier,UTA,points,15.5,NBA,FanDuel,-122,-104,0.5055942483682132,0.005594248368213206,0.005594248368213206,2026-03-13T21:42:35 ET,2026-03-14T02:00:00Z,TRUE,TRUE,underdog:isaiah collier:points:15.5:over:game,Isaiah Collier - Points - 15.5
NBA,underdog-1a58f337-921e-48b9-9bef-2c544a061e28-rebounds-8.5,Kyle Filipowski,UTA,rebounds,8.5,NBA,FanDuel,-113,-113,0.5162003467132992,0.016200346713299174,0.016200346713299174,2026-03-13T21:42:35 ET,2026-03-14T02:00:00Z,TRUE,TRUE,underdog:kyle filipowski:rebounds:8.5:over:game,Kyle Filipowski - Rebounds - 8.5
NBA,underdog-2eb02bc7-97a7-4a30-9cd3-0a2555339932-points-15.5,Brice Sensabaugh,UTA,points,15.5,NBA,FanDuel,-270,194,0.6820759580683966,0.1820759580683966,0.1820759580683966,2026-03-13T21:42:35 ET,2026-03-14T02:00:00Z,TRUE,TRUE,underdog:brice sensabaugh:points:15.5:over:game,Brice Sensabaugh - Points - 15.5
