Sport,id,player,team,opponent,stat,line,league,book,overOdds,underOdds,trueProb,edge,legEv,runTimestamp,gameTime,IsWithin24h,IsNonStandardOdds,leg_key,leg_label,scoringWeight,udPickFactor
NBA,underdog-d26e86fd-33ef-4ded-9c03-d4eb20d6d510-assists-2.5,Karl-Anthony Towns,NYK,GSW,assists,2.5,NBA,FanDuel,-138,108,0.5473216123709119,0.047321612370911925,0.047321612370911925,2026-03-15T20:06:05 ET,2026-03-16T00:00:00Z,FALSE,TRUE,underdog:karl-anthony towns:assists:2.5:over:game,Karl-Anthony Towns - Assists - 2.5,1,1
NBA,underdog-98bfee2c-ff62-4105-9c7b-fb4e811ace54-points-20.5,Jalen Brunson,NYK,GSW,points,20.5,NBA,FanDuel,-275,198,0.6860611134365843,0.18606111343658427,0.18606111343658427,2026-03-15T20:06:05 ET,2026-03-16T00:00:00Z,FALSE,TRUE,underdog:jalen brunson:points:20.5:over:game,Jalen Brunson - Points - 20.5,1,1
NBA,underdog-e76f2983-00ec-4d89-aad4-05a875b601f7-points-7.5,Mikal Bridges,NYK,GSW,points,7.5,NBA,FanDuel,-600,370,0.8011363636363636,0.30113636363636365,0.30113636363636365,2026-03-15T20:06:05 ET,2026-03-16T00:00:00Z,FALSE,TRUE,underdog:mikal bridges:points:7.5:over:game,Mikal Bridges - Points - 7.5,1,1.03
NBA,underdog-ba50895d-75f3-40ec-803a-32e133d5860b-points-15.5,Brandin Podziemski,GSW,NYK,points,15.5,NBA,FanDuel,-205,152,0.6287731256085686,0.12877312560856857,0.12877312560856857,2026-03-15T20:06:05 ET,2026-03-16T00:00:00Z,FALSE,TRUE,underdog:brandin podziemski:points:15.5:over:game,Brandin Podziemski - Points - 15.5,1,1
NBA,underdog-373d397c-7f95-4d5c-abb7-841dbd7e8400-points-4.5,Mitchell Robinson,NYK,GSW,points,4.5,NBA,DraftKings,-126,-101,0.519636590728345,0.019636590728345005,0.019636590728345005,2026-03-15T20:06:05 ET,2026-03-16T00:00:00Z,FALSE,TRUE,underdog:mitchell robinson:points:4.5:over:game,Mitchell Robinson - Points - 4.5,1,1.03
NBA,underdog-ff6ae7b8-4fe5-4900-a218-3059d95a1375-points-8.5,Gary Payton II,GSW,NYK,points,8.5,NBA,FanDuel,-138,104,0.5231940444393365,0.02319404443933648,0.02319404443933648,2026-03-15T20:06:05 ET,2026-03-16T00:00:00Z,FALSE,FALSE,underdog:gary payton:points:8.5:over:game,Gary Payton II - Points - 8.5,1,1
NBA,underdog-e00af983-4248-463c-8a55-7a09734bfbe7-points-9.5,Landry Shamet,NYK,GSW,points,9.5,NBA,FanDuel,-118,-108,0.5106408520654989,0.010640852065498918,0.010640852065498918,2026-03-15T20:06:05 ET,2026-03-16T00:00:00Z,FALSE,TRUE,underdog:landry shamet:points:9.5:over:game,Landry Shamet - Points - 9.5,1,1
NBA,underdog-fc486dc8-063f-4bf5-9fef-a7992d375803-assists-3.5,Gui Santos,GSW,NYK,assists,3.5,NBA,FanDuel,-128,100,0.5129203936440272,0.012920393644027195,0.012920393644027195,2026-03-15T20:06:05 ET,2026-03-16T00:00:00Z,FALSE,TRUE,underdog:gui santos:assists:3.5:over:game,Gui Santos - Assists - 3.5,1,1
NBA,underdog-57536d95-7ea9-42c6-b4ba-8f82f5f74e4e-points-7.5,Pat Spencer,GSW,NYK,points,7.5,NBA,FanDuel,-154,116,0.5695687816469376,0.06956878164693758,0.06956878164693758,2026-03-15T20:06:05 ET,2026-03-16T00:00:00Z,FALSE,FALSE,underdog:pat spencer:points:7.5:over:game,Pat Spencer - Points - 7.5,1,1
NBA,underdog-2357f3e0-3586-448a-a72d-c4483cc10815-points-9.5,Gui Santos,GSW,NYK,points,9.5,NBA,FanDuel,-620,390,0.8084087280468334,0.3084087280468334,0.3084087280468334,2026-03-15T20:06:05 ET,2026-03-16T00:00:00Z,FALSE,FALSE,underdog:gui santos:points:9.5:over:game,Gui Santos - Points - 9.5,1,1
