"Game","GameTime","Player","PropType","MarketType","Line","Odds","Bookmaker","Timestamp"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_assists","Over","3.5","1.58","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_assists","Under","3.5","2.28","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jalen Brunson","player_assists","Over","6.5","2.0","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jalen Brunson","player_assists","Under","6.5","1.76","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Kevin Durant","player_assists","Over","4.5","1.77","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Kevin Durant","player_assists","Under","4.5","1.98","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Josh Hart","player_assists","Over","4.5","2.06","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Josh Hart","player_assists","Under","4.5","1.71","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_assists","Over","4.5","1.8","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_assists","Under","4.5","1.94","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_assists","Over","3.5","2.16","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_assists","Under","3.5","1.65","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Alperen Sengun","player_assists","Over","5.5","1.88","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Alperen Sengun","player_assists","Under","5.5","1.88","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Karl-Anthony Towns","player_points","Over","17.5","1.88","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Karl-Anthony Towns","player_points","Under","17.5","1.88","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_points","Over","15.5","1.77","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_points","Under","15.5","1.98","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Alperen Sengun","player_points","Over","19.5","1.98","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Alperen Sengun","player_points","Under","19.5","1.77","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_points","Over","15.5","1.83","FanDuel","2026-03-31 11:24:25"
