site,player,stat,line,sport,matched,reason,bestOddsLine,bestOddsPlayerNorm,matchType,altDelta
underdog,Cade Cunningham,points,27.5,NBA,Y,ok,27.5,cade cunningham,main,0.00
underdog,Paolo Banchero,points,22.5,NBA,N,line_diff,21.5,paolo banchero,,
underdog,Desmond Bane,points,20.5,NBA,Y,ok,20.5,desmond bane,main,0.00
underdog,Paolo Banchero,points,35.5,NBA,N,line_diff,21.5,paolo banchero,,
underdog,Desmond Bane,points,29.5,NBA,N,line_diff,20.5,desmond bane,,
underdog,Cade Cunningham,points,42.5,NBA,N,line_diff,27.5,cade cunningham,,
underdog,Desmond Bane,rebounds,4.5,NBA,Y,ok,4.5,desmond bane,main,0.00
underdog,Paolo Banchero,rebounds,7.5,NBA,Y,ok,7.5,paolo banchero,main,0.00
underdog,Cade Cunningham,rebounds,5.5,NBA,Y,ok,5.5,cade cunningham,main,0.00
underdog,Paolo Banchero,assists,5.5,NBA,Y,ok,5.5,paolo banchero,main,0.00
underdog,Desmond Bane,assists,4.5,NBA,N,line_diff,3.5,desmond bane,,
underdog,Cade Cunningham,assists,10.5,NBA,N,line_diff,9.5,cade cunningham,,
underdog,Desmond Bane,points,7.5,NBA,N,line_diff,20.5,desmond bane,,
underdog,Paolo Banchero,points,13.5,NBA,N,line_diff,21.5,paolo banchero,,
underdog,Cade Cunningham,points,15.5,NBA,N,line_diff,27.5,cade cunningham,,
underdog,Desmond Bane,points,25.5,NBA,N,line_diff,20.5,desmond bane,,
underdog,Cade Cunningham,points,32.5,NBA,N,line_diff,27.5,cade cunningham,,
underdog,Paolo Banchero,points,29.5,NBA,N,line_diff,21.5,paolo banchero,,
underdog,Cade Cunningham,points,36.5,NBA,N,line_diff,27.5,cade cunningham,,
underdog,Paolo Banchero,points,27.5,NBA,N,line_diff,21.5,paolo banchero,,
underdog,Desmond Bane,points,25.5,NBA,N,line_diff,20.5,desmond bane,,
underdog,Cade Cunningham,points,5.5,NBA,N,line_diff,27.5,cade cunningham,,
underdog,Desmond Bane,points,4.5,NBA,N,line_diff,20.5,desmond bane,,
underdog,Paolo Banchero,points,5.5,NBA,N,line_diff,21.5,paolo banchero,,
underdog,Cade Cunningham,points,10.5,NBA,N,line_diff,27.5,cade cunningham,,
underdog,Cade Cunningham,points,53.65,NBA,N,line_diff,27.5,cade cunningham,,
underdog,Desmond Bane,steals,1.5,NBA,N,juice,1.5,desmond bane,,
underdog,Cade Cunningham,steals,1.5,NBA,Y,ok,1.5,cade cunningham,main,0.00
