site,player,stat,line,sport,matched,reason,bestOddsLine,bestOddsPlayerNorm,matchType,altDelta
prizepicks,Anthony Edwards,points,28.5,NBA,Y,ok,28.5,anthony edwards,main,0.00
prizepicks,Zion Williamson,points,20.5,NBA,Y,ok,20.5,zion williamson,main,0.00
prizepicks,Paolo Banchero,pra,43.5,NBA,Y,ok,44,paolo banchero,main,0.00
prizepicks,Paolo Banchero,points_assists,37.5,NBA,N,line_diff,36.5,paolo banchero,,
prizepicks,Desmond Bane,pra,30.5,NBA,N,line_diff,35,desmond bane,,
prizepicks,Desmond Bane,points_assists,29.5,NBA,N,line_diff,30.5,desmond bane,,
prizepicks,Desmond Bane,points_rebounds,26.5,NBA,N,line_diff,27.5,desmond bane,,
prizepicks,Desmond Bane,points,24.5,NBA,N,line_diff,25.5,desmond bane,,
prizepicks,Jaden Hardy,points_assists,24.5,NBA,N,no_candidate,,,,
prizepicks,Jalen Suggs,pra,23.5,NBA,Y,ok,24,jalen suggs,main,0.00
prizepicks,Jaden Hardy,points,23.5,NBA,Y,ok,23.5,jaden hardy,main,0.00
prizepicks,Bub Carrington,pra,22.5,NBA,N,line_diff,21,bub carrington,,
prizepicks,Justin Champagnie,pra,22.5,NBA,N,no_candidate,,,,
prizepicks,Will Riley,pra,21.5,NBA,N,no_candidate,,,,
prizepicks,Jalen Suggs,points_assists,19.5,NBA,N,line_diff,20.5,jalen suggs,,
prizepicks,Tre Johnson,pra,17.5,NBA,N,no_candidate,,,,
prizepicks,Jalen Suggs,points_rebounds,17.5,NBA,N,line_diff,18.5,jalen suggs,,
prizepicks,Will Riley,points_rebounds,16.5,NBA,Y,ok,16.5,will riley,main,0.00
prizepicks,Tristan Silva,pra,15.5,NBA,N,no_candidate,,,,
prizepicks,Justin Champagnie,points_assists,15.5,NBA,N,no_candidate,,,,
prizepicks,Jalen Suggs,points,14.5,NBA,N,line_diff,13.5,jalen suggs,,
prizepicks,Goga Bitadze,points_assists,14.5,NBA,N,no_candidate,,,,
prizepicks,Tre Johnson,points,13.5,NBA,Y,ok,13.5,tre johnson,main,0.00
prizepicks,Moritz Wagner,points_rebounds,13.5,NBA,Y,ok,13.5,moritz wagner,main,0.00
prizepicks,Tristan Silva,points_rebounds,13.5,NBA,N,no_candidate,,,,
prizepicks,Bub Carrington,points,11.5,NBA,N,line_diff,12.5,bub carrington,,
prizepicks,Will Riley,points,11.5,NBA,Y,ok,11.5,will riley,main,0.00
prizepicks,Jevon Carter,pra,11.5,NBA,N,line_diff,9.5,jevon carter,,
prizepicks,Justin Champagnie,points,11.5,NBA,N,line_diff,10.5,justin champagnie,,
prizepicks,Bilal Coulibaly,points,10.5,NBA,N,line_diff,8.5,bilal coulibaly,,
prizepicks,Moritz Wagner,points,10.5,NBA,Y,ok,10.5,moritz wagner,main,0.00
prizepicks,Jevon Carter,points_assists,9.5,NBA,N,line_diff,8,jevon carter,,
prizepicks,Goga Bitadze,rebounds_assists,9.5,NBA,N,no_candidate,,,,
prizepicks,Tristan Silva,rebounds,7.5,NBA,N,no_candidate,,,,
prizepicks,Jevon Carter,points_rebounds,7.5,NBA,N,no_candidate,,,,
prizepicks,Goga Bitadze,rebounds,7.5,NBA,N,no_candidate,,,,
prizepicks,Desmond Bane,rebounds_assists,6.5,NBA,N,line_diff,7.5,desmond bane,,
prizepicks,Bub Carrington,assists,6.5,NBA,N,line_diff,5.5,bub carrington,,
prizepicks,Jevon Carter,points,5.5,NBA,Y,ok,5.5,jevon carter,main,0.00
prizepicks,Jevon Carter,rebounds_assists,5.5,NBA,N,no_candidate,,,,
prizepicks,Desmond Bane,steals,0.5,NBA,N,no_candidate,,,,
prizepicks,Will Riley,threes,0.5,NBA,Y,ok,0.5,will riley,main,0.00
prizepicks,Tristan Silva,steals,0.5,NBA,N,no_candidate,,,,
prizepicks,Justin Champagnie,steals,0.5,NBA,N,no_candidate,,,,
prizepicks,Brandon Miller,points_assists,29.5,NBA,N,line_diff,33.5,brandon miller,,
prizepicks,Miles Bridges,pra,26.5,NBA,N,line_diff,25,miles bridges,,
prizepicks,Brandon Williams,pra,25.5,NBA,N,line_diff,27,brandon williams,,
prizepicks,Brandon Miller,points,24.5,NBA,N,line_diff,28.5,brandon miller,,
prizepicks,LaMelo Ball,points_assists,24.5,NBA,N,line_diff,26.5,lamelo ball,,
prizepicks,Brandon Williams,points_rebounds,23.5,NBA,Y,ok,23.5,brandon williams,main,0.00
prizepicks,LaMelo Ball,points_rebounds,22.5,NBA,N,no_candidate,,,,
prizepicks,P.J. Washington,pra,22.5,NBA,N,no_candidate,,,,
prizepicks,Miles Bridges,points_rebounds,21.5,NBA,Y,ok,21.5,miles bridges,main,0.00
prizepicks,Khris Middleton,pra,21.5,NBA,N,line_diff,20,khris middleton,,
prizepicks,Miles Bridges,points_assists,20.5,NBA,N,line_diff,18.5,miles bridges,,
prizepicks,P.J. Washington,points_rebounds,20.5,NBA,N,no_candidate,,,,
prizepicks,Brandon Williams,points,18.5,NBA,N,line_diff,20.5,brandon williams,,
prizepicks,Moussa Diabaté,pra,18.5,NBA,N,line_diff,20,moussa diabate,,
prizepicks,Khris Middleton,points_rebounds,17.5,NBA,Y,ok,17.5,khris middleton,main,0.00
prizepicks,Kon Knueppel,points_rebounds,17.5,NBA,Y,ok,17.5,kon knueppel,main,0.00
prizepicks,Moussa Diabaté,points_rebounds,17.5,NBA,Y,ok,17.5,moussa diabate,main,0.00
prizepicks,P.J. Washington,points_assists,17.5,NBA,N,no_candidate,,,,
prizepicks,Khris Middleton,points_assists,16.5,NBA,N,line_diff,14.5,khris middleton,,
prizepicks,LaMelo Ball,points,16.5,NBA,N,line_diff,17.5,lamelo ball,,
prizepicks,P.J. Washington,points,16.5,NBA,N,no_candidate,,,,
prizepicks,Kon Knueppel,points_assists,15.5,NBA,Y,ok,15.5,kon knueppel,main,0.00
prizepicks,Miles Bridges,points,15.5,NBA,N,line_diff,14.5,miles bridges,,
prizepicks,Josh Green,points_rebounds,14.5,NBA,N,no_candidate,,,,
prizepicks,Sion James,pra,14.5,NBA,N,no_candidate,,,,
prizepicks,LaMelo Ball,rebounds_assists,13.5,NBA,N,no_candidate,,,,
prizepicks,Max Christie,points_rebounds,13.5,NBA,Y,ok,13.5,max christie,main,0.00
prizepicks,Grant Williams,pra,13.5,NBA,N,no_candidate,,,,
prizepicks,Kon Knueppel,points,13.5,NBA,N,line_diff,12.5,kon knueppel,,
prizepicks,Caleb Martin,points_rebounds,13.5,NBA,N,line_diff,14.5,caleb martin,,
prizepicks,Ryan Nembhard,pra,13.5,NBA,N,no_candidate,,,,
prizepicks,Khris Middleton,points,12.5,NBA,Y,ok,12.5,khris middleton,main,0.00
prizepicks,Daniel Gafford,points_rebounds,11.5,NBA,N,line_diff,13.5,daniel gafford,,
prizepicks,Caleb Martin,points,11.5,NBA,N,line_diff,12.5,caleb martin,,
prizepicks,Max Christie,points,10.5,NBA,Y,ok,10.5,max christie,main,0.00
prizepicks,Miles Bridges,rebounds_assists,10.5,NBA,Y,ok,10.5,miles bridges,main,0.00
prizepicks,Ryan Nembhard,points_assists,10.5,NBA,Y,ok,10.5,ryan nembhard,main,0.00
prizepicks,Moussa Diabaté,points,9.5,NBA,N,line_diff,10.5,moussa diabate,,
prizepicks,Brandon Miller,rebounds_assists,8.5,NBA,N,line_diff,9.5,brandon miller,,
prizepicks,Moussa Diabaté,rebounds_assists,8.5,NBA,Y,ok,8.5,moussa diabate,main,0.00
prizepicks,Dwight Powell,rebounds,7.5,NBA,N,line_diff,6.5,dwight powell,,
prizepicks,Grant Williams,points,6.5,NBA,Y,ok,6.5,grant williams,main,0.00
prizepicks,P.J. Washington,rebounds_assists,6.5,NBA,N,no_candidate,,,,
prizepicks,Dwight Powell,points,6.5,NBA,N,line_diff,4.5,dwight powell,,
prizepicks,LaMelo Ball,rebounds,5.5,NBA,Y,ok,5.5,lamelo ball,main,0.00
prizepicks,Ryan Nembhard,points,5.5,NBA,Y,ok,5.5,ryan nembhard,main,0.00
prizepicks,Daniel Gafford,rebounds,4.5,NBA,N,line_diff,5.5,daniel gafford,,
prizepicks,P.J. Washington,rebounds,4.5,NBA,N,no_candidate,,,,
prizepicks,AJ Johnson,points,4.5,NBA,N,line_diff,5.5,aj johnson,,
prizepicks,Khris Middleton,assists,3.5,NBA,N,line_diff,2.5,khris middleton,,
prizepicks,LaMelo Ball,steals,3.5,NBA,N,no_candidate,,,,
prizepicks,Josh Green,threes,3.5,NBA,N,line_diff,2.5,josh green,,
prizepicks,Kon Knueppel,assists,2.5,NBA,Y,ok,2.5,kon knueppel,main,0.00
prizepicks,Khris Middleton,threes,0.5,NBA,Y,ok,0.5,khris middleton,main,0.00
prizepicks,Cade Cunningham,pra,39.5,NBA,N,line_diff,43,cade cunningham,,
prizepicks,Cade Cunningham,points_assists,33.5,NBA,N,line_diff,36.5,cade cunningham,,
prizepicks,James Harden,pra,32.5,NBA,N,line_diff,31,james harden,,
prizepicks,Cade Cunningham,points_rebounds,29.5,NBA,N,line_diff,32.5,cade cunningham,,
prizepicks,Jalen Duren,pra,27.5,NBA,N,line_diff,26,jalen duren,,
prizepicks,Jaylon Tyson,pra,25.5,NBA,Y,ok,26,jaylon tyson,main,0.00
prizepicks,Ausar Thompson,points_rebounds,22.5,NBA,N,line_diff,17.5,ausar thompson,,
prizepicks,Cade Cunningham,points,22.5,NBA,N,line_diff,25.5,cade cunningham,,
prizepicks,Jarrett Allen,pra,21.5,NBA,N,line_diff,19,jarrett allen,,
