site,player,stat,line,sport,matched,reason,bestOddsLine,bestOddsPlayerNorm,matchType,altDelta
underdog,Victor Wembanyama,points,25.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,40.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,rebounds,11.5,NBA,Y,ok,11.5,victor wembanyama,main,0.00
underdog,Victor Wembanyama,assists,3.5,NBA,N,line_diff,2.5,victor wembanyama,,
underdog,Victor Wembanyama,points,14.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,36.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,28.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,5.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,9.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,53.55,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,blocks,2.5,NBA,Y,ok,2.5,victor wembanyama,main,0.00
underdog,Victor Wembanyama,points,4.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,11.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,4.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,19.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,16.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,5.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,De'Aaron Fox,points,16.5,NBA,N,no_candidate,,,,
underdog,De'Aaron Fox,points,26.5,NBA,N,no_candidate,,,,
underdog,De'Aaron Fox,rebounds,3.5,NBA,N,no_candidate,,,,
underdog,De'Aaron Fox,assists,6.5,NBA,N,no_candidate,,,,
underdog,De'Aaron Fox,points,9.5,NBA,N,no_candidate,,,,
underdog,De'Aaron Fox,points,19.5,NBA,N,no_candidate,,,,
underdog,De'Aaron Fox,points,22.5,NBA,N,no_candidate,,,,
underdog,De'Aaron Fox,points,4.5,NBA,N,no_candidate,,,,
underdog,De'Aaron Fox,points,6.5,NBA,N,no_candidate,,,,
underdog,De'Aaron Fox,points,30.95,NBA,N,no_candidate,,,,
underdog,De'Aaron Fox,points,4.5,NBA,N,no_candidate,,,,
underdog,Devin Vassell,points,13.5,NBA,Y,ok,13.5,devin vassell,main,0.00
underdog,Tyrese Maxey,points,31.5,NBA,Y,ok,31.5,tyrese maxey,main,0.00
underdog,Tyrese Maxey,points,41.5,NBA,N,line_diff,31.5,tyrese maxey,,
underdog,Devin Vassell,points,20.5,NBA,N,line_diff,13.5,devin vassell,,
underdog,Devin Vassell,rebounds,3.5,NBA,Y,ok,3.5,devin vassell,main,0.00
