2026-02-21T14:45:53.514Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=538 | includeAltLines=true
2026-02-21T14:46:01.903Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=538 | includeAltLines=true
2026-02-21T17:19:21.956Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=540 | includeAltLines=true
2026-02-21T19:19:03.841Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=551 | includeAltLines=true
2026-02-21T19:19:12.403Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=551 | includeAltLines=true
2026-02-21T19:33:48.235Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=531 | includeAltLines=true
2026-02-21T19:39:59.625Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=557 | includeAltLines=true
2026-02-21T19:42:30.743Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=537 | includeAltLines=true
2026-02-21T19:42:38.921Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=537 | includeAltLines=true
2026-02-21T21:26:58.110Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=536 | includeAltLines=true
2026-02-21T23:22:37.209Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=609 | includeAltLines=true
2026-02-21T23:25:36.185Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=617 | includeAltLines=true
2026-02-21T23:25:44.759Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=617 | includeAltLines=true
2026-02-22T17:18:19.226Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=901 | includeAltLines=true
2026-02-22T17:18:29.877Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=901 | includeAltLines=true
2026-02-22T18:16:02.132Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=911 | includeAltLines=true
2026-02-22T18:25:37.792Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=903 | includeAltLines=true
2026-02-22T19:38:00.874Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=909 | includeAltLines=true
2026-02-22T19:38:16.799Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=906 | includeAltLines=true
2026-02-22T22:09:38.411Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=781 | includeAltLines=true
2026-02-22T22:09:49.504Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=781 | includeAltLines=true
2026-02-22T23:59:58.977Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=542 | includeAltLines=true
2026-02-23T00:00:08.535Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=542 | includeAltLines=true
2026-02-23T02:05:59.208Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=312 | includeAltLines=true
2026-02-23T02:06:06.454Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=312 | includeAltLines=true
2026-02-23T19:49:57.275Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=419 | includeAltLines=true
2026-02-23T19:50:04.495Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=419 | includeAltLines=true
2026-02-23T19:53:26.418Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=419 | includeAltLines=true
2026-02-23T19:53:34.091Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=419 | includeAltLines=true
2026-02-23T23:14:12.223Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=546 | includeAltLines=true
2026-02-23T23:14:19.830Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=546 | includeAltLines=true
2026-02-23T23:23:36.929Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=546 | includeAltLines=true
2026-02-23T23:23:50.690Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=546 | includeAltLines=true
2026-02-24T21:40:34.343Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=989 | includeAltLines=true
2026-02-24T21:55:36.783Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=992 | includeAltLines=true
2026-02-24T21:55:51.147Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=979 | includeAltLines=true
2026-02-25T11:02:07.698Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=401 | includeAltLines=true
2026-02-26T00:07:20.711Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=732 | includeAltLines=true
2026-02-26T11:01:29.050Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=666 | includeAltLines=true
2026-02-26T22:08:45.461Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=860 | includeAltLines=true
2026-02-27T00:31:56.413Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=1282 | includeAltLines=true
2026-02-27T11:00:39.088Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=370 | includeAltLines=true
2026-02-27T11:00:39.154Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=370 | includeAltLines=true
2026-02-27T17:01:29.706Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=509 | includeAltLines=true
2026-02-28T00:03:46.453Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=553 | includeAltLines=true
2026-02-28T11:00:33.563Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=424 | includeAltLines=true
2026-02-28T16:10:11.441Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=482 | includeAltLines=true
2026-02-28T16:13:56.860Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=482 | includeAltLines=true
2026-02-28T16:17:24.340Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=484 | includeAltLines=true
2026-02-28T17:01:43.937Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=490 | includeAltLines=true
2026-02-28T18:37:26.331Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=483 | includeAltLines=true
2026-02-28T23:42:33.395Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=598 | includeAltLines=true
2026-02-28T23:48:01.678Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=604 | includeAltLines=true
2026-03-01T00:03:31.601Z | SGO HARVEST | league=NBA | call#=1/2500 | alts=0 | total_rows=636 | includeAltLines=true
