source,player,player_normalized,sport,league,stat,line,overOdds,underOdds,book,eventId,team,opponent
SGO,DESMOND_BANE_1_NBA,desmond bane,NBA,NBA,assists,7.5,-220,162,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,JALEN_SUGGS_1_NBA,jalen suggs,NBA,NBA,assists,4.5,162,-220,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,WENDELL_CARTER_JR_1_NBA,wendell carter jr,NBA,NBA,assists,2.5,150,-195,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,DESMOND_BANE_1_NBA,desmond bane,NBA,NBA,points_assists,22.5,-135,105,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,JALEN_SUGGS_1_NBA,jalen suggs,NBA,NBA,points_assists,17.5,-110,-120,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,DESMOND_BANE_1_NBA,desmond bane,NBA,NBA,points_rebounds,20.5,-105,-135,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,JALEN_SUGGS_1_NBA,jalen suggs,NBA,NBA,points_rebounds,16.5,100,-130,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,MORITZ_WAGNER_1_NBA,moritz wagner,NBA,NBA,points_rebounds,10.5,-110,-120,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,TRISTAN_DA_SILVA_1_NBA,tristan da silva,NBA,NBA,points_rebounds,25.5,-115,-115,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,WENDELL_CARTER_JR_1_NBA,wendell carter jr,NBA,NBA,points_rebounds,12.5,-125,-105,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,DESMOND_BANE_1_NBA,desmond bane,NBA,NBA,points,15.5,-106,-125,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,JALEN_SUGGS_1_NBA,jalen suggs,NBA,NBA,points,13.5,-130,-102,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,MORITZ_WAGNER_1_NBA,moritz wagner,NBA,NBA,points,8.5,-130,-102,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,TRISTAN_DA_SILVA_1_NBA,tristan da silva,NBA,NBA,points,21.5,100,-132,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,WENDELL_CARTER_JR_1_NBA,wendell carter jr,NBA,NBA,points,5.5,-172,128,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,JALEN_SUGGS_1_NBA,jalen suggs,NBA,NBA,rebounds_assists,6.5,-145,114,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,DESMOND_BANE_1_NBA,desmond bane,NBA,NBA,rebounds,4.5,-215,158,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,JALEN_SUGGS_1_NBA,jalen suggs,NBA,NBA,rebounds,2.5,-154,116,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,MORITZ_WAGNER_1_NBA,moritz wagner,NBA,NBA,rebounds,4.5,118,-158,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,TRISTAN_DA_SILVA_1_NBA,tristan da silva,NBA,NBA,rebounds,4.5,154,-200,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,WENDELL_CARTER_JR_1_NBA,wendell carter jr,NBA,NBA,rebounds,6.5,-136,102,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,DESMOND_BANE_1_NBA,desmond bane,NBA,NBA,threes,0.5,-102,-130,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,JALEN_SUGGS_1_NBA,jalen suggs,NBA,NBA,threes,3.5,146,-198,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,TRISTAN_DA_SILVA_1_NBA,tristan da silva,NBA,NBA,threes,2.5,112,-148,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,WENDELL_CARTER_JR_1_NBA,wendell carter jr,NBA,NBA,threes,0.5,-122,-108,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,AUSAR_THOMPSON_1_NBA,ausar thompson,NBA,NBA,assists,1.5,-136,102,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,CADE_CUNNINGHAM_1_NBA,cade cunningham,NBA,NBA,assists,9.5,-160,120,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,AUSAR_THOMPSON_1_NBA,ausar thompson,NBA,NBA,points_rebounds,14.5,-140,110,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,CADE_CUNNINGHAM_1_NBA,cade cunningham,NBA,NBA,points_rebounds,38.5,-135,105,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,JALEN_DUREN_1_NBA,jalen duren,NBA,NBA,points_rebounds,25.5,-120,-120,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,TOBIAS_HARRIS_1_NBA,tobias harris,NBA,NBA,points_rebounds,28.5,110,-140,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,AUSAR_THOMPSON_1_NBA,ausar thompson,NBA,NBA,points,4.5,-114,-114,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,CADE_CUNNINGHAM_1_NBA,cade cunningham,NBA,NBA,points,31.5,-136,102,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,DANISS_JENKINS_1_NBA,daniss jenkins,NBA,NBA,points,5.5,-102,-130,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,DUNCAN_ROBINSON_1_NBA,duncan robinson,NBA,NBA,points,2.5,106,-140,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,JALEN_DUREN_1_NBA,jalen duren,NBA,NBA,points,16.5,-114,-114,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,PAUL_REED_1_NBA,paul reed,NBA,NBA,points,5.5,104,-138,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,TOBIAS_HARRIS_1_NBA,tobias harris,NBA,NBA,points,19.5,-118,-112,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,CADE_CUNNINGHAM_1_NBA,cade cunningham,NBA,NBA,rebounds_assists,17.5,114,-145,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,JALEN_DUREN_1_NBA,jalen duren,NBA,NBA,rebounds_assists,11.5,-120,-110,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,AUSAR_THOMPSON_1_NBA,ausar thompson,NBA,NBA,rebounds,7.5,118,-158,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,CADE_CUNNINGHAM_1_NBA,cade cunningham,NBA,NBA,rebounds,7.5,118,-158,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,DUNCAN_ROBINSON_1_NBA,duncan robinson,NBA,NBA,rebounds,2.5,190,-250,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,JALEN_DUREN_1_NBA,jalen duren,NBA,NBA,rebounds,9.5,-182,136,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,TOBIAS_HARRIS_1_NBA,tobias harris,NBA,NBA,rebounds,6.5,-114,-114,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,CADE_CUNNINGHAM_1_NBA,cade cunningham,NBA,NBA,threes,2.5,136,-182,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,DUNCAN_ROBINSON_1_NBA,duncan robinson,NBA,NBA,threes,0.5,124,-166,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,TOBIAS_HARRIS_1_NBA,tobias harris,NBA,NBA,threes,0.5,-250,188,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,CADE_CUNNINGHAM_1_NBA,cade cunningham,NBA,NBA,points_assists,41.5,-120,-110,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,JALEN_DUREN_1_NBA,jalen duren,NBA,NBA,points_assists,17.5,-135,105,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,PAOLO_BANCHERO_1_NBA,paolo banchero,NBA,NBA,assists,2.5,-210,154,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,PAOLO_BANCHERO_1_NBA,paolo banchero,NBA,NBA,points_assists,28.5,100,-130,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,PAOLO_BANCHERO_1_NBA,paolo banchero,NBA,NBA,points_rebounds,35.5,-120,-110,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,PAOLO_BANCHERO_1_NBA,paolo banchero,NBA,NBA,points,25.5,-108,-122,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,PAOLO_BANCHERO_1_NBA,paolo banchero,NBA,NBA,rebounds_assists,13.5,-115,-115,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,PAOLO_BANCHERO_1_NBA,paolo banchero,NBA,NBA,rebounds,10.5,-148,112,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,PAOLO_BANCHERO_1_NBA,paolo banchero,NBA,NBA,threes,1.5,280,-420,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,DANISS_JENKINS_1_NBA,daniss jenkins,NBA,NBA,assists,2.5,144,-194,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,CARIS_LEVERT_1_NBA,caris levert,NBA,NBA,points,6.5,-114,-114,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,CADE_CUNNINGHAM_1_NBA,cade cunningham,NBA,NBA,steals,2.5,-140,110,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,TOBIAS_HARRIS_1_NBA,tobias harris,NBA,NBA,steals,1.5,135,-175,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,JETT_HOWARD_1_NBA,jett howard,NBA,NBA,threes,0.5,-174,130,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,JEVON_CARTER_1_NBA,jevon carter,NBA,NBA,assists,2.5,128,-172,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,JEVON_CARTER_1_NBA,jevon carter,NBA,NBA,rebounds,1.5,-188,140,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,JEVON_CARTER_1_NBA,jevon carter,NBA,NBA,threes,0.5,200,-280,fanduel,9R43m7CQcebXDbVKZwHN,,
SGO,JEVON_CARTER_1_NBA,jevon carter,NBA,NBA,points,4.5,105,-135,draftkings,9R43m7CQcebXDbVKZwHN,,
SGO,CJ_MCCOLLUM_1_NBA,cj mccollum,NBA,NBA,assists,3.5,-192,142,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,JRUE_HOLIDAY_1_NBA,jrue holiday,NBA,NBA,assists,4.5,-166,126,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,ONYEKA_OKONGWU_1_NBA,onyeka okongwu,NBA,NBA,assists,2.5,-125,-106,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,SCOOT_HENDERSON_1_NBA,scoot henderson,NBA,NBA,assists,3.5,134,-180,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,CJ_MCCOLLUM_1_NBA,cj mccollum,NBA,NBA,points,19.5,110,-146,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,DONOVAN_CLINGAN_1_NBA,donovan clingan,NBA,NBA,points,16.5,-125,-105,draftkings,E636hOoG4ooxJ70IbtLY,,
SGO,JERAMI_GRANT_1_NBA,jerami grant,NBA,NBA,points,6.5,-136,102,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,JRUE_HOLIDAY_1_NBA,jrue holiday,NBA,NBA,points,20.5,-102,-130,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,NICKEIL_ALEXANDERWALKER_1_NBA,nickeil alexanderwalker,NBA,NBA,points,15.5,-115,-115,draftkings,E636hOoG4ooxJ70IbtLY,,
SGO,ONYEKA_OKONGWU_1_NBA,onyeka okongwu,NBA,NBA,points,24.5,116,-154,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,SCOOT_HENDERSON_1_NBA,scoot henderson,NBA,NBA,points,11.5,-135,105,draftkings,E636hOoG4ooxJ70IbtLY,,
SGO,TOUMANI_CAMARA_1_NBA,toumani camara,NBA,NBA,points,7.5,-125,-106,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,DONOVAN_CLINGAN_1_NBA,donovan clingan,NBA,NBA,rebounds,16.5,114,-145,draftkings,E636hOoG4ooxJ70IbtLY,,
SGO,JRUE_HOLIDAY_1_NBA,jrue holiday,NBA,NBA,rebounds,6.5,-160,120,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,NICKEIL_ALEXANDERWALKER_1_NBA,nickeil alexanderwalker,NBA,NBA,rebounds,2.5,-182,136,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,ONYEKA_OKONGWU_1_NBA,onyeka okongwu,NBA,NBA,rebounds,10.5,-108,-122,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,SCOOT_HENDERSON_1_NBA,scoot henderson,NBA,NBA,rebounds,3.5,128,-172,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,CJ_MCCOLLUM_1_NBA,cj mccollum,NBA,NBA,threes,1.5,-112,-118,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,DONOVAN_CLINGAN_1_NBA,donovan clingan,NBA,NBA,threes,2.5,450,-720,draftkings,E636hOoG4ooxJ70IbtLY,,
SGO,JALEN_JOHNSON_1_NBA,jalen johnson,NBA,NBA,threes,0.5,-210,154,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,JERAMI_GRANT_1_NBA,jerami grant,NBA,NBA,threes,1.5,-110,-120,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,JRUE_HOLIDAY_1_NBA,jrue holiday,NBA,NBA,threes,2.5,194,-270,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,NICKEIL_ALEXANDERWALKER_1_NBA,nickeil alexanderwalker,NBA,NBA,threes,1.5,-178,132,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,ONYEKA_OKONGWU_1_NBA,onyeka okongwu,NBA,NBA,threes,6.5,102,-136,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,SCOOT_HENDERSON_1_NBA,scoot henderson,NBA,NBA,threes,0.5,-245,178,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,TOUMANI_CAMARA_1_NBA,toumani camara,NBA,NBA,threes,1.5,124,-166,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,KRIS_MURRAY_1_NBA,kris murray,NBA,NBA,points,4.5,-118,-112,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,KRIS_MURRAY_1_NBA,kris murray,NBA,NBA,rebounds,2.5,-174,128,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,JONATHAN_KUMINGA_1_NBA,jonathan kuminga,NBA,NBA,points,13.5,-110,100,draftkings,E636hOoG4ooxJ70IbtLY,,
SGO,JONATHAN_KUMINGA_1_NBA,jonathan kuminga,NBA,NBA,assists,4.5,124,-166,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,JONATHAN_KUMINGA_1_NBA,jonathan kuminga,NBA,NBA,rebounds,6.5,-125,110,draftkings,E636hOoG4ooxJ70IbtLY,,
SGO,JONATHAN_KUMINGA_1_NBA,jonathan kuminga,NBA,NBA,threes,0.5,-125,-106,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,ZACCHARIE_RISACHER_1_NBA,zaccharie risacher,NBA,NBA,threes,0.5,-250,182,fanduel,E636hOoG4ooxJ70IbtLY,,
SGO,DERRICK_WHITE_1_NBA,derrick white,NBA,NBA,assists,5.5,-125,-102,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,JAYLEN_BROWN_1_NBA,jaylen brown,NBA,NBA,assists,4.5,-113,-113,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,DERRICK_WHITE_1_NBA,derrick white,NBA,NBA,points_assists,22.5,-118,-112,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,DERRICK_WHITE_1_NBA,derrick white,NBA,NBA,points_rebounds,20.5,-118,-108,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,JAYLEN_BROWN_1_NBA,jaylen brown,NBA,NBA,points_rebounds,35.5,-102,-125,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,DERRICK_WHITE_1_NBA,derrick white,NBA,NBA,points,16.5,-115,-111,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,JAYLEN_BROWN_1_NBA,jaylen brown,NBA,NBA,points,27.5,-128,100,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,DERRICK_WHITE_1_NBA,derrick white,NBA,NBA,rebounds_assists,9.5,-122,-104,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,JAYLEN_BROWN_1_NBA,jaylen brown,NBA,NBA,rebounds_assists,11.5,-111,-115,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,DERRICK_WHITE_1_NBA,derrick white,NBA,NBA,rebounds,3.5,-160,124,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,JAYLEN_BROWN_1_NBA,jaylen brown,NBA,NBA,rebounds,6.5,-128,100,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,DERRICK_WHITE_1_NBA,derrick white,NBA,NBA,threes,2.5,-120,-108,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,JAYLEN_BROWN_1_NBA,jaylen brown,NBA,NBA,threes,1.5,-142,112,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,JAYLEN_BROWN_1_NBA,jaylen brown,NBA,NBA,points_assists,32.5,-120,-110,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,NEEMIAS_QUETA_1_NBA,neemias queta,NBA,NBA,points_rebounds,16.5,100,-128,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,NEEMIAS_QUETA_1_NBA,neemias queta,NBA,NBA,points,8.5,-118,-108,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,NEEMIAS_QUETA_1_NBA,neemias queta,NBA,NBA,rebounds,7.5,108,-138,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,SAM_HAUSER_1_NBA,sam hauser,NBA,NBA,points_rebounds,13.5,-118,-108,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,BAYLOR_SCHEIERMAN_1_NBA,baylor scheierman,NBA,NBA,points,6.5,-111,-115,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,SAM_HAUSER_1_NBA,sam hauser,NBA,NBA,points,10.5,-104,-122,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,SAM_HAUSER_1_NBA,sam hauser,NBA,NBA,rebounds,3.5,102,-130,fanduel,AQhaJCl72BHpSymvrflU,,
SGO,SAM_HAUSER_1_NBA,sam hauser,NBA,NBA,threes,2.5,-113,-113,fanduel,AQhaJCl72BHpSymvrflU,,
