source,player,player_normalized,sport,league,stat,line,overOdds,underOdds,book,eventId,team,opponent
TheRundown,Jose Alvarado,jose alvarado,NBA,NBA,threes,1.5,-116,-113,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Jalen Brunson,jalen brunson,NBA,NBA,threes,2.5,-125,-105,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Karl-Anthony Towns,karl-anthony towns,NBA,NBA,threes,1.5,112,-148,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Julian Champagnie,julian champagnie,NBA,NBA,threes,1.5,-180,136,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Julian Champagnie,julian champagnie,NBA,NBA,threes,2.5,143,-190,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Mikal Bridges,mikal bridges,NBA,NBA,threes,1.5,-134,102,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,De'Aaron Fox,de'aaron fox,NBA,NBA,threes,1.5,-111,-118,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Josh Hart,josh hart,NBA,NBA,threes,1.5,145,-192,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Keldon Johnson,keldon johnson,NBA,NBA,threes,0.5,-202,152,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,OG Anunoby,og anunoby,NBA,NBA,threes,1.5,-190,143,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Devin Vassell,devin vassell,NBA,NBA,threes,1.5,-188,142,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Victor Wembanyama,victor wembanyama,NBA,NBA,threes,1.5,-135,103,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Stephon Castle,stephon castle,NBA,NBA,threes,0.5,-214,161,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Dylan Harper,dylan harper,NBA,NBA,threes,0.5,-174,132,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Jose Alvarado,jose alvarado,NBA,NBA,assists,2.5,-174,132,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Jose Alvarado,jose alvarado,NBA,NBA,assists,3.5,132,-175,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Karl-Anthony Towns,karl-anthony towns,NBA,NBA,assists,2.5,-106,-124,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Julian Champagnie,julian champagnie,NBA,NBA,assists,1.5,113,-149,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Mikal Bridges,mikal bridges,NBA,NBA,assists,3.5,-102,-130,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,De'Aaron Fox,de'aaron fox,NBA,NBA,assists,5.5,-152,116,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,De'Aaron Fox,de'aaron fox,NBA,NBA,assists,6.5,118,-155,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Josh Hart,josh hart,NBA,NBA,assists,4.5,-149,113,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Josh Hart,josh hart,NBA,NBA,assists,5.5,116,-153,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,OG Anunoby,og anunoby,NBA,NBA,assists,2.5,122,-162,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Devin Vassell,devin vassell,NBA,NBA,assists,2.5,140,-185,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Victor Wembanyama,victor wembanyama,NBA,NBA,assists,2.5,-167,126,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Victor Wembanyama,victor wembanyama,NBA,NBA,assists,3.5,126,-166,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Stephon Castle,stephon castle,NBA,NBA,assists,6.5,102,-135,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Dylan Harper,dylan harper,NBA,NBA,assists,4.5,134,-180,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Dylan Harper,dylan harper,NBA,NBA,assists,3.5,-139,105,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Jose Alvarado,jose alvarado,NBA,NBA,points,7.5,-105,-121,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Jalen Brunson,jalen brunson,NBA,NBA,points,24.5,-136,102,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Jalen Brunson,jalen brunson,NBA,NBA,points,26.5,-125,-106,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Jalen Brunson,jalen brunson,NBA,NBA,points,25.5,-107,-119,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Jalen Brunson,jalen brunson,NBA,NBA,points,27.5,-108,-118,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Karl-Anthony Towns,karl-anthony towns,NBA,NBA,points,17.5,-125,-106,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Mitchell Robinson,mitchell robinson,NBA,NBA,points,4.5,-102,-130,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Julian Champagnie,julian champagnie,NBA,NBA,points,9.5,-120,-108,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
TheRundown,Mikal Bridges,mikal bridges,NBA,NBA,points,13.5,-113,-114,consensus,fd4f31d5d4120334e7446086979f7eee,New York,San Antonio
