Sport,id,player,team,stat,line,league,book,overOdds,underOdds,trueProb,edge,legEv,runTimestamp,gameTime,IsWithin24h,IsNonStandardOdds,leg_key,leg_label
NBA,prizepicks-10214920-pra-21.5,Isaiah Hartenstein,OKC,pra,21.5,NBA,fanduel_synth,-105.0431320504313,105.0431320504313,0.5122977346278317,0.01229773462783168,0.01229773462783168,2026-03-01T20:38:56 ET,2026-03-01T20:12:00.000-05:00,FALSE,FALSE,prizepicks:isaiah hartenstein:pra:21.5:over:game,Isaiah Hartenstein - Pra - 21.5
NBA,prizepicks-10220724-pra-14.5,Luguentz Dort,OKC,pra,14.5,NBA,draftkings_synth,-109.27885003634015,109.27885003634015,0.5221686282076018,0.022168628207601793,0.022168628207601793,2026-03-01T20:38:56 ET,2026-03-01T20:12:00.000-05:00,FALSE,FALSE,prizepicks:luguentz dort:pra:14.5:over:game,Luguentz Dort - Pra - 14.5
NBA,prizepicks-10233613-pra-12.5,Caleb Martin,DAL,pra,12.5,NBA,fanduel_synth,-123.29545454545455,123.29545454545455,0.5521628498727735,0.05216284987277353,0.05216284987277353,2026-03-01T20:38:56 ET,2026-03-01T20:12:00.000-05:00,FALSE,FALSE,prizepicks:caleb martin:pra:12.5:over:game,Caleb Martin - Pra - 12.5
NBA,prizepicks-10214416-pra-38.5,Tyrese Maxey,PHI,pra,38.5,NBA,fanduel_synth,-110.38367520459134,110.38367520459134,0.5246779489770144,0.024677948977014363,0.024677948977014363,2026-03-01T20:38:56 ET,2026-03-01T20:14:00.000-05:00,FALSE,FALSE,prizepicks:tyrese maxey:pra:38.5:over:game,Tyrese Maxey - Pra - 38.5
NBA,prizepicks-10213788-pra-26.5,Derrick White,BOS,pra,26.5,NBA,fanduel_synth,-120.75089577815862,120.75089577815862,0.5189561976317115,0.018956197631711524,0.018956197631711524,2026-03-01T20:38:56 ET,2026-03-01T20:14:00.000-05:00,FALSE,FALSE,prizepicks:derrick white:pra:26.5:over:game,Derrick White - Pra - 26.5
NBA,prizepicks-10216763-pra-15.5,Sam Hauser,BOS,pra,15.5,NBA,draftkings_synth,-103.11570599065287,103.11570599065287,0.5076697810626133,0.00766978106261329,0.00766978106261329,2026-03-01T20:38:56 ET,2026-03-01T20:14:00.000-05:00,FALSE,FALSE,prizepicks:sam hauser:pra:15.5:over:game,Sam Hauser - Pra - 15.5
NBA,prizepicks-10213963-points_rebounds-13.5,Sam Hauser,BOS,points_rebounds,13.5,NBA,fanduel,-118,-108,0.510397604391948,0.010397604391948034,0.010397604391948034,2026-03-01T20:38:56 ET,2026-03-01T20:14:00.000-05:00,FALSE,FALSE,prizepicks:sam hauser:points_rebounds:13.5:over:game,Sam Hauser - Points Rebounds - 13.5
NBA,prizepicks-10216792-rebounds_assists-8.5,VJ Edgecombe,PHI,rebounds_assists,8.5,NBA,fanduel,-122,-104,0.5187593796898449,0.01875937968984487,0.01875937968984487,2026-03-01T20:38:56 ET,2026-03-01T20:14:00.000-05:00,FALSE,FALSE,prizepicks:vj edgecombe:rebounds_assists:8.5:over:game,VJ Edgecombe - Rebounds Assists - 8.5
NBA,prizepicks-10228310-rebounds-6.5,Jaylen Brown,BOS,rebounds,6.5,NBA,fanduel,-128,100,0.5289256198347108,0.02892561983471076,0.02892561983471076,2026-03-01T20:38:56 ET,2026-03-01T20:14:00.000-05:00,FALSE,FALSE,prizepicks:jaylen brown:rebounds:6.5:over:game,Jaylen Brown - Rebounds - 6.5
NBA,prizepicks-10214520-assists-2.5,Quentin Grimes,PHI,assists,2.5,NBA,fanduel,-178,138,0.6037854170229747,0.10378541702297472,0.10378541702297472,2026-03-01T20:38:56 ET,2026-03-01T20:14:00.000-05:00,FALSE,FALSE,prizepicks:quentin grimes:assists:2.5:over:game,Quentin Grimes - Assists - 2.5
NBA,prizepicks-10214527-rebounds-2.5,Quentin Grimes,PHI,rebounds,2.5,NBA,fanduel,-160,124,0.5795601552393274,0.07956015523932736,0.07956015523932736,2026-03-01T20:38:56 ET,2026-03-01T20:14:00.000-05:00,FALSE,FALSE,prizepicks:quentin grimes:rebounds:2.5:over:game,Quentin Grimes - Rebounds - 2.5
NBA,prizepicks-10221737-pra-40.5,Kawhi Leonard,LAC,pra,40.5,NBA,fanduel_synth,-107.31640130020381,107.31640130020381,0.5176454956152006,0.017645495615200568,0.017645495615200568,2026-03-01T20:38:56 ET,2026-03-01T21:10:00.000-05:00,TRUE,FALSE,prizepicks:kawhi leonard:pra:40.5:over:game,Kawhi Leonard - Pra - 40.5
NBA,prizepicks-10221901-pra-27.5,Bennedict Mathurin,LAC,pra,27.5,NBA,fanduel_synth,-110.67465210498501,110.67465210498501,0.5253344481605351,0.025334448160535095,0.025334448160535095,2026-03-01T20:38:56 ET,2026-03-01T21:10:00.000-05:00,TRUE,FALSE,prizepicks:bennedict mathurin:pra:27.5:over:game,Bennedict Mathurin - Pra - 27.5
NBA,prizepicks-10222012-pra-20.5,Jeremiah Fears,NOP,pra,20.5,NBA,fanduel_synth,-102.94447235210016,102.94447235210016,0.5072543792840823,0.007254379284082346,0.007254379284082346,2026-03-01T20:38:56 ET,2026-03-01T21:10:00.000-05:00,TRUE,FALSE,prizepicks:jeremiah fears:pra:20.5:over:game,Jeremiah Fears - Pra - 20.5
NBA,prizepicks-10224189-pra-16.5,Brook Lopez,LAC,pra,16.5,NBA,betmgm_synth,-103.88349514563104,103.88349514563104,0.5095238095238095,0.00952380952380949,0.00952380952380949,2026-03-01T20:38:56 ET,2026-03-01T21:10:00.000-05:00,TRUE,FALSE,prizepicks:brook lopez:pra:16.5:over:game,Brook Lopez - Pra - 16.5
NBA,prizepicks-10224118-points_assists-16,John Collins,LAC,points_assists,16,NBA,betmgm,-125,-105,0.5203045685279188,0.020304568527918843,0.020304568527918843,2026-03-01T20:38:56 ET,2026-03-01T21:10:00.000-05:00,TRUE,FALSE,prizepicks:john collins:points_assists:16:over:game,John Collins - Points Assists - 16
NBA,prizepicks-10221728-points-14,John Collins,LAC,points,14,NBA,fanduel,-128,100,0.5289256198347108,0.02892561983471076,0.02892561983471076,2026-03-01T20:38:56 ET,2026-03-01T21:10:00.000-05:00,TRUE,FALSE,prizepicks:john collins:points:14:over:game,John Collins - Points - 14
NBA,prizepicks-10223348-points_assists-13.5,Kris Dunn,LAC,points_assists,13.5,NBA,fanduel,-132,100,0.532258064516129,0.032258064516129004,0.032258064516129004,2026-03-01T20:38:56 ET,2026-03-01T21:10:00.000-05:00,TRUE,FALSE,prizepicks:kris dunn:points_assists:13.5:over:game,Kris Dunn - Points Assists - 13.5
NBA,prizepicks-10221857-points_rebounds-12.5,Kris Dunn,LAC,points_rebounds,12.5,NBA,fanduel,-136,102,0.5379072681704261,0.03790726817042611,0.03790726817042611,2026-03-01T20:38:56 ET,2026-03-01T21:10:00.000-05:00,TRUE,FALSE,prizepicks:kris dunn:points_rebounds:12.5:over:game,Kris Dunn - Points Rebounds - 12.5
NBA,prizepicks-10236664-points-12,Derrick Jones,LAC,points,12,NBA,fanduel,-120,-108,0.5123152709359606,0.012315270935960632,0.012315270935960632,2026-03-01T20:38:56 ET,2026-03-01T21:10:00.000-05:00,TRUE,FALSE,prizepicks:derrick jones:points:12:over:game,Derrick Jones - Points - 12
NBA,prizepicks-10224184-points_assists-11.5,Brook Lopez,LAC,points_assists,11.5,NBA,betmgm,-125,-105,0.5203045685279188,0.020304568527918843,0.020304568527918843,2026-03-01T20:38:56 ET,2026-03-01T21:10:00.000-05:00,TRUE,FALSE,prizepicks:brook lopez:points_assists:11.5:over:game,Brook Lopez - Points Assists - 11.5
NBA,prizepicks-10237705-points-8.5,Jordan Miller,LAC,points,8.5,NBA,betmgm,-118,-110,0.5082034454470877,0.008203445447087732,0.008203445447087732,2026-03-01T20:38:56 ET,2026-03-01T21:10:00.000-05:00,TRUE,FALSE,prizepicks:jordan miller:points:8.5:over:game,Jordan Miller - Points - 8.5
NBA,prizepicks-10228319-rebounds-5,Saddiq Bey,NOP,rebounds,5,NBA,fanduel,-148,116,0.5631341600901917,0.06313416009019168,0.06313416009019168,2026-03-01T20:38:56 ET,2026-03-01T21:10:00.000-05:00,TRUE,FALSE,prizepicks:saddiq bey:rebounds:5:over:game,Saddiq Bey - Rebounds - 5
NBA,prizepicks-10221966-assists-2.5,Herbert Jones,NOP,assists,2.5,NBA,fanduel,-125,-102,0.5238589211618258,0.023858921161825752,0.023858921161825752,2026-03-01T20:38:56 ET,2026-03-01T21:10:00.000-05:00,TRUE,FALSE,prizepicks:herbert jones:assists:2.5:over:game,Herbert Jones - Assists - 2.5
