source,player,player_lower,sport,league,stat,line,projectionId,gameId,team,opponent,isNonStandardOdds
Underdog,Josh Giddey,josh giddey,NBA,NBA,points,19.5,6c4e5527-cf77-4c27-bdf4-a03e47945dde,131440,CHI,MEM,1
Underdog,Josh Giddey,josh giddey,NBA,NBA,points,40.5,1134f40d-93c8-4a37-a839-4d568c5f0e5d,131440,CHI,MEM,1
Underdog,Josh Giddey,josh giddey,NBA,NBA,rebounds,9.5,f9bfc2e5-7698-4bc1-b4b8-5f471430e2ba,131440,CHI,MEM,0
Underdog,Josh Giddey,josh giddey,NBA,NBA,assists,10.5,4bc6a2b8-1ce8-4ddf-8fb5-df91f0079201,131440,CHI,MEM,1
Underdog,Josh Giddey,josh giddey,NBA,NBA,points,2.5,1a55ae87-ef1c-4241-9b35-4f1b1dbfee21,131440,CHI,MEM,1
Underdog,Josh Giddey,josh giddey,NBA,NBA,points,20.5,43c53589-67e0-4064-abf7-a6731e0a1b00,131440,CHI,MEM,1
Underdog,Josh Giddey,josh giddey,NBA,NBA,points,29.5,ecadde3d-551b-4580-99f0-0ab9749b311e,131440,CHI,MEM,1
Underdog,Josh Giddey,josh giddey,NBA,NBA,points,30.5,4118b34b-89a9-44b3-a1b1-0c0cf0fc80b6,131440,CHI,MEM,0
Underdog,Josh Giddey,josh giddey,NBA,NBA,points,0.5,fd9058c0-5ce2-4dda-9133-efcfbb4b587d,131440,CHI,MEM,1
Underdog,Josh Giddey,josh giddey,NBA,NBA,points,0.5,72aba5ee-3daf-4736-a1c9-5ef2471c0abf,131440,CHI,MEM,0
Underdog,Josh Giddey,josh giddey,NBA,NBA,points,4.5,25a82980-26b6-4c1b-9557-27f2117dd7cc,131440,CHI,MEM,1
Underdog,Josh Giddey,josh giddey,NBA,NBA,points,2.5,eb50d370-64c6-4319-9e51-0d201fc68ba5,131440,CHI,MEM,1
Underdog,Josh Giddey,josh giddey,NBA,NBA,points,2.5,361eefe8-adaa-423e-8745-2553d74b8a48,131440,CHI,MEM,1
Underdog,Josh Giddey,josh giddey,NBA,NBA,turnovers,3.5,0cce7381-8f09-4e62-8e93-03ebbed11db4,131440,CHI,MEM,1
Underdog,Josh Giddey,josh giddey,NBA,NBA,steals,1.5,62a5e6c6-9af9-4691-abe6-263e4c69db0c,131440,CHI,MEM,1
Underdog,Josh Giddey,josh giddey,NBA,NBA,points,2.5,7f79a149-95d9-40ce-b40a-11862abfba75,131440,CHI,MEM,1
Underdog,Josh Giddey,josh giddey,NBA,NBA,points,7.5,08564e94-fd55-46c1-ba5b-3299a509ab1b,131440,CHI,MEM,1
Underdog,Josh Giddey,josh giddey,NBA,NBA,points,15.5,e39d4233-2446-47b4-ad5d-1194eeda81bc,131440,CHI,MEM,1
Underdog,Matas Buzelis,matas buzelis,NBA,NBA,points,20.5,a6312b4f-2275-40e1-9e64-960e1703d66f,131440,CHI,MEM,0
Underdog,Matas Buzelis,matas buzelis,NBA,NBA,points,29.5,cb87cf0a-5726-43ec-a48a-93c7c3a24ab0,131440,CHI,MEM,1
Underdog,Matas Buzelis,matas buzelis,NBA,NBA,rebounds,7.5,42b84a63-9f7c-4d69-bb83-f14208e9e33a,131440,CHI,MEM,1
Underdog,Matas Buzelis,matas buzelis,NBA,NBA,points,2.5,eaf3d4af-293d-4f2f-a2c5-3579a386c659,131440,CHI,MEM,1
Underdog,Matas Buzelis,matas buzelis,NBA,NBA,points,8.5,d2cc870e-a89c-48e7-a657-41c8c7e5a11b,131440,CHI,MEM,1
Underdog,Matas Buzelis,matas buzelis,NBA,NBA,points,27.5,604b4a37-0c44-4b41-9e13-a9c7de514596,131440,CHI,MEM,1
Underdog,Matas Buzelis,matas buzelis,NBA,NBA,points,0.5,bd6d26df-c3ec-458e-a9d7-77a76b98f827,131440,CHI,MEM,1
Underdog,Matas Buzelis,matas buzelis,NBA,NBA,points,4.5,e4c74f8f-4377-4388-a6dd-eea679caecc4,131440,CHI,MEM,1
Underdog,Matas Buzelis,matas buzelis,NBA,NBA,points,1.5,950b03ac-2712-42a9-b2d0-1a8c8429e99e,131440,CHI,MEM,1
Underdog,Matas Buzelis,matas buzelis,NBA,NBA,turnovers,2.5,72118200-6821-472d-9283-b14c268223ce,131440,CHI,MEM,1
Underdog,Matas Buzelis,matas buzelis,NBA,NBA,blocks,1.5,c70e8494-a0cb-4583-806f-a6992adf15cf,131440,CHI,MEM,1
Underdog,Matas Buzelis,matas buzelis,NBA,NBA,points,2.5,a6f1573d-e2aa-434f-a1f9-ccb9f0890733,131440,CHI,MEM,1
Underdog,Matas Buzelis,matas buzelis,NBA,NBA,points,16.5,81f34b3d-6346-415c-bfb2-f0a18506b7bb,131440,CHI,MEM,1
Underdog,Matas Buzelis,matas buzelis,NBA,NBA,points,9.5,f08061aa-5b25-4ab1-8763-12a867274476,131440,CHI,MEM,1
Underdog,Patrick Williams,patrick williams,NBA,NBA,points,8.5,a9acb072-6d3d-4d5a-b02a-cb785a2821f0,131440,CHI,MEM,0
Underdog,Patrick Williams,patrick williams,NBA,NBA,points,13.5,2a00ecae-0689-4250-98e8-3a37b5c5087e,131440,CHI,MEM,1
Underdog,Patrick Williams,patrick williams,NBA,NBA,rebounds,3.5,8b71ae50-133e-495b-a288-637b850d14e7,131440,CHI,MEM,1
Underdog,Patrick Williams,patrick williams,NBA,NBA,points,1.5,61d1c651-8ae0-4ad8-8f68-77877d29beee,131440,CHI,MEM,1
Underdog,Patrick Williams,patrick williams,NBA,NBA,points,4.5,8ba7d388-eb5b-4f26-a210-a65dec4e068b,131440,CHI,MEM,1
Underdog,GG Jackson,gg jackson,NBA,NBA,points,18.5,a4684b8a-fde2-4847-bfa7-06df15e06774,131440,MEM,CHI,0
Underdog,Tre Jones,tre jones,NBA,NBA,points,14.5,b5417277-e131-4089-987a-2bcfbc1f9359,131440,CHI,MEM,1
Underdog,Collin Sexton,collin sexton,NBA,NBA,points,18.5,db5a0c23-90ac-4b5f-80da-0326be12f8ee,131440,CHI,MEM,1
Underdog,Collin Sexton,collin sexton,NBA,NBA,points,22.5,19798bcb-8bac-4ea6-8f69-bb79ed3681e5,131440,CHI,MEM,1
Underdog,Tre Jones,tre jones,NBA,NBA,points,23.5,bc3c9037-69d7-4a85-a086-5475633f7f43,131440,CHI,MEM,1
Underdog,GG Jackson,gg jackson,NBA,NBA,points,26.5,3d406fcb-fb1f-4b3a-b21e-3d284cf22aac,131440,MEM,CHI,1
Underdog,Collin Sexton,collin sexton,NBA,NBA,rebounds,2.5,6e9b06d0-47be-477b-8089-cbf3f57a7da9,131440,CHI,MEM,1
Underdog,Tre Jones,tre jones,NBA,NBA,rebounds,3.5,0fadba6b-9e29-4cee-b6ad-41220883a404,131440,CHI,MEM,0
Underdog,GG Jackson,gg jackson,NBA,NBA,rebounds,5.5,46e0ce30-aaed-4ee9-b02e-f227e2e1aeb4,131440,MEM,CHI,1
Underdog,Tre Jones,tre jones,NBA,NBA,assists,5.5,e891ce68-a609-485f-9e13-604f9df858bb,131440,CHI,MEM,1
Underdog,Collin Sexton,collin sexton,NBA,NBA,assists,2.5,9ed18f01-8f7f-4323-851a-c9498ae7ae26,131440,CHI,MEM,1
Underdog,Collin Sexton,collin sexton,NBA,NBA,points,2.5,acc0ed23-5e60-422b-a23d-38780a7c77cc,131440,CHI,MEM,1
Underdog,Tre Jones,tre jones,NBA,NBA,points,0.5,e118f711-3b00-41b0-913b-0c19af2b678b,131440,CHI,MEM,1
Underdog,GG Jackson,gg jackson,NBA,NBA,points,1.5,2915d5f4-0bda-4b7f-af84-5602087436b5,131440,MEM,CHI,0
Underdog,GG Jackson,gg jackson,NBA,NBA,points,7.5,fdd7f42b-9fde-4294-baf9-1307a88905f4,131440,MEM,CHI,1
Underdog,Tre Jones,tre jones,NBA,NBA,points,9.5,4bc5ecd1-9466-4a56-b043-82eb357cef5f,131440,CHI,MEM,1
Underdog,Collin Sexton,collin sexton,NBA,NBA,points,21.5,bfbff73d-7c70-4bf0-b06e-ed5e01f42d5c,131440,CHI,MEM,0
Underdog,GG Jackson,gg jackson,NBA,NBA,points,23.5,76bf6dc3-88e1-4f3d-9c1b-2e8b3864d6ea,131440,MEM,CHI,1
Underdog,GG Jackson,gg jackson,NBA,NBA,points,20.5,20f72638-bb6b-41fd-9dd8-dc245e8453d4,131440,MEM,CHI,1
Underdog,Collin Sexton,collin sexton,NBA,NBA,points,21.5,f50594e5-1cfb-4cae-b540-88406d8b6747,131440,CHI,MEM,1
Underdog,Tre Jones,tre jones,NBA,NBA,points,20.5,16adc76d-3d49-458b-a535-69e1d48fb250,131440,CHI,MEM,1
Underdog,GG Jackson,gg jackson,NBA,NBA,points,0.5,1efbdcd0-c29e-44ce-977a-034c7935bfcf,131440,MEM,CHI,0
Underdog,Tre Jones,tre jones,NBA,NBA,points,0.5,a54b95bf-3a6d-4167-a3dc-09a95da44e37,131440,CHI,MEM,0
Underdog,Collin Sexton,collin sexton,NBA,NBA,points,5.5,f7991371-5d5d-4a90-85e1-84b162e5a47c,131440,CHI,MEM,1
Underdog,GG Jackson,gg jackson,NBA,NBA,points,4.5,e6d2ff15-3043-4228-bdbe-ce8452a52cfe,131440,MEM,CHI,1
Underdog,Tre Jones,tre jones,NBA,NBA,points,4.5,35b76a34-625f-4bd3-b281-29e664a0765b,131440,CHI,MEM,1
Underdog,Tre Jones,tre jones,NBA,NBA,points,1.5,0dfd3d84-8e89-49fb-a0ba-14bf3c03393f,131440,CHI,MEM,1
Underdog,GG Jackson,gg jackson,NBA,NBA,points,1.5,f2da23bf-e913-43b1-9641-62709182d7c4,131440,MEM,CHI,1
Underdog,GG Jackson,gg jackson,NBA,NBA,turnovers,2.5,3fba97d4-771d-47e8-b568-8f0f93fbc30e,131440,MEM,CHI,1
Underdog,Tre Jones,tre jones,NBA,NBA,steals,1.5,9ae2623a-a504-4e63-9afa-0ef972628f58,131440,CHI,MEM,1
Underdog,Collin Sexton,collin sexton,NBA,NBA,steals,1.5,ad450fdf-af59-459f-8436-edb3e1ced569,131440,CHI,MEM,1
Underdog,GG Jackson,gg jackson,NBA,NBA,blocks,1.5,81de5e34-06d4-49ba-b2e4-426a64148eb2,131440,MEM,CHI,1
Underdog,GG Jackson,gg jackson,NBA,NBA,points,5.5,a03ca8a8-f7ca-4ff2-814d-2d6008024e0e,131440,MEM,CHI,1
