Player,TotalProps,Matched,Match%,no_candidate,line_diff,juice,StatTypes,Notes
Nikola Jokic,23,2,9%,0,21,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Derrick White,18,3,17%,1,13,1,points|rebounds|assists|steals|blocks,ALT_LINES_DOMINANT
Jamal Murray,18,3,17%,0,14,1,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Kawhi Leonard,18,3,17%,0,15,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Kevin Durant,17,3,18%,0,14,0,points|rebounds|assists,ALT_LINES_DOMINANT
Alperen Sengun,16,2,13%,1,13,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Payton Pritchard,16,2,13%,0,14,0,points|rebounds|assists,ALT_LINES_DOMINANT
Amen Thompson,14,2,14%,1,11,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Victor Wembanyama,12,2,17%,1,9,0,points|rebounds|assists|blocks,ALT_LINES_DOMINANT
Tyrese Maxey,12,2,17%,1,9,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Reed Sheppard,11,3,27%,1,7,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Giannis Antetokounmpo,11,2,18%,0,9,0,points|rebounds|assists,ALT_LINES_DOMINANT
Nikola Vucevic,11,2,18%,0,9,0,points|rebounds|assists,ALT_LINES_DOMINANT
Kevin Porter Jr.,11,3,27%,0,8,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Brandin Podziemski,11,3,27%,0,8,0,points|rebounds|assists,ALT_LINES_DOMINANT
VJ Edgecombe,11,4,36%,1,6,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Ryan Rollins,10,4,40%,0,6,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Scottie Barnes,10,3,30%,2,5,0,points|rebounds|assists|steals|blocks,ok
Jalen Brunson,10,3,30%,0,7,0,points|rebounds|assists,ALT_LINES_DOMINANT
Brandon Ingram,10,3,30%,0,7,0,points|rebounds|assists,ALT_LINES_DOMINANT
Immanuel Quickley,10,3,30%,1,6,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Tari Eason,9,2,22%,1,6,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
De'Anthony Melton,9,0,0%,9,0,0,points|rebounds|assists|steals,ABSENT_FROM_ODDS
RJ Barrett,9,3,33%,0,6,0,points|rebounds|assists,ALT_LINES_DOMINANT
De'Aaron Fox,9,0,0%,9,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Stephon Castle,9,3,33%,1,5,0,points|rebounds|assists|steals,ok
Keyonte George,8,3,38%,0,5,0,points|rebounds|assists,ok
Ace Bailey,8,0,0%,8,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Kyle Filipowski,8,2,25%,1,5,0,points|rebounds|assists|steals,ok
Bennedict Mathurin,8,3,38%,0,5,0,points|rebounds|assists,ok
Karl-Anthony Towns,8,0,0%,8,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
OG Anunoby,8,2,25%,1,5,0,points|rebounds|assists|steals,ok
Kelly Oubre,8,1,13%,2,5,0,points|rebounds|assists|steals,ok
Christian Braun,7,2,29%,0,5,0,points|rebounds|assists,ok
Isaiah Collier,7,2,29%,1,4,0,points|rebounds|assists|steals,ok
Gui Santos,7,1,14%,0,5,1,points|rebounds|assists|steals,ok
Will Riley,6,1,17%,5,0,0,points|rebounds|assists,ok
Kyshawn George,6,2,33%,1,3,0,points|rebounds|assists,ok
Tre Johnson,6,1,17%,2,3,0,points|rebounds|assists,ok
Baylor Scheierman,6,3,50%,0,3,0,points|rebounds|assists,ok
Sam Hauser,6,2,33%,1,3,0,points|rebounds|assists,ok
Bruce Brown,6,3,50%,0,2,1,points|rebounds|assists|steals,ok
Brice Sensabaugh,6,2,33%,1,3,0,points|rebounds|assists,ok
Julian Strawther,6,1,17%,2,3,0,points|rebounds|assists|steals,ok
Draymond Green,6,3,50%,0,3,0,points|rebounds|assists,ok
Brook Lopez,6,3,50%,1,1,1,points|rebounds|assists|steals|blocks,ok
Al Horford,6,2,33%,0,4,0,points|rebounds|assists,ok
Kris Dunn,6,3,50%,0,3,0,points|rebounds|assists|steals,ok
Moses Moody,6,2,33%,0,4,0,points|rebounds|assists,ok
Mikal Bridges,6,3,50%,1,2,0,points|rebounds|assists|steals,ok
Devin Vassell,6,2,33%,1,3,0,points|rebounds|assists,ok
Bub Carrington,5,2,40%,0,3,0,points|rebounds|assists,ok
Bilal Coulibaly,5,2,40%,2,1,0,points|rebounds|assists|steals,ok
Juju Reese,5,0,0%,5,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Myles Turner,5,2,40%,0,2,1,points|rebounds|blocks,ok
Ron Harper Jr.,5,0,0%,5,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
AJ Green,5,2,40%,0,3,0,points|rebounds|assists,ok
Tim Hardaway Jr.,5,2,40%,1,2,0,points|rebounds|assists,ok
Darius Garland,5,3,60%,0,2,0,points|rebounds|assists,ok
Pat Spencer,5,3,60%,0,2,0,points|rebounds|assists,ok
Josh Hart,5,0,0%,0,5,0,points|rebounds|assists,ok
Jakob Poeltl,5,3,60%,1,1,0,points|rebounds|assists,ok
Landry Shamet,5,0,0%,5,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Dylan Harper,5,0,0%,5,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Andre Drummond,5,1,20%,1,3,0,points|rebounds|assists,ok
Julian Champagnie,5,2,40%,1,2,0,points|rebounds|assists,ok
Quentin Grimes,5,0,0%,5,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Justin Champagnie,4,0,0%,4,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Kyle Kuzma,4,3,75%,0,1,0,points|rebounds|assists,ok
Cam Thomas,4,1,25%,2,1,0,points|rebounds|assists,ok
Bobby Portis,4,2,50%,1,1,0,points|rebounds|assists,ok
Luka Garza,4,2,50%,0,2,0,points|rebounds|assists,ok
Jonas Valanciunas,4,0,0%,4,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Cody Williams,4,2,50%,1,1,0,points|rebounds|assists,ok
Derrick Jones Jr.,4,3,75%,0,1,0,points|rebounds|assists,ok
Mitchell Robinson,4,0,0%,4,0,0,points|rebounds,ABSENT_FROM_ODDS
Jamal Shead,4,0,0%,4,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Ja'Kobe Walter,4,0,0%,4,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Harrison Barnes,4,0,0%,4,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Keldon Johnson,4,0,0%,4,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Adem Bona,4,0,0%,4,0,0,points|rebounds|blocks,ABSENT_FROM_ODDS
Dominick Barlow,4,2,50%,1,1,0,points|rebounds|steals,ok
Luke Kornet,4,0,0%,4,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Clint Capela,3,2,67%,0,1,0,points|rebounds,ok
Josh Okogie,3,0,0%,3,0,0,points|rebounds,ABSENT_FROM_ODDS
Jordan Walsh,3,2,67%,0,1,0,points|rebounds,ok
Dorian Finney-Smith,2,0,0%,2,0,0,points|rebounds,ABSENT_FROM_ODDS
Hugo Gonzalez,2,2,100%,0,0,0,points|rebounds,ok
Zeke Nnaji,2,2,100%,0,0,0,points|rebounds,ok
