Sport,site,flexType,Site-Leg,Player-Prop-Line,cardEv,winProbCash,winProbAny,avgProb,avgEdgePct,breakevenGap,leg1Id,leg2Id,leg3Id,leg4Id,leg5Id,leg6Id,kellyRawFraction,kellyCappedFraction,kellyFinalFraction,kellyStake,kellyRiskAdjustment,efficiencyScore,portfolioRank,runTimestamp,bestBetScore,bestBetTier,rawCardEv,divAdjustedScore,divPenaltyTotal
NBA,PP,6F,pp-6f,De'Aaron Fox PTS o14.5 | Jonathan Kuminga PTS o6.5 | Dominick Barlow REB o2.5 | Kelly Oubre REB o3.5 | Keon Ellis PTS o7.5 | Onyeka Okongwu PTS o9.5,2.125357018674703,0.37495018919661677,0.7035388872082449,0.678481384770785,17.84813847707849,0.13642168428174062,prizepicks-10950659-points-14.5-over,prizepicks-10964994-points-6.5-over,prizepicks-10958632-rebounds-2.5-over,prizepicks-10955857-rebounds-3.5-over,prizepicks-10959186-points-7.5-over,prizepicks-10957214-points-9.5-over,0.04057828973186289,0.04057828973186289,0.020289144865931447,8.115657946372579,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.01422084615992449,strong,,,
NBA,PP,6F,pp-6f,Onyeka Okongwu PTS o9.5 | Davion Mitchell AST o5.5 | De'Aaron Fox PTS o14.5 | CJ McCollum PTS o14.5 | Sam Hauser PTS o7.5 | Jonathan Kuminga PTS o6.5,1.775230474224498,0.34415853777279565,0.6733203105603596,0.6631109126921951,16.311091269219517,0.12105121220315074,prizepicks-10957214-points-9.5-over,prizepicks-10959150-assists-5.5-over,prizepicks-10950659-points-14.5-over,prizepicks-10957044-points-14.5-over,prizepicks-10961908-points-7.5-over,prizepicks-10964994-points-6.5-over,0.03816311356455401,0.03816311356455401,0.019081556782277007,7.632622712910803,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.011928902806473053,strong,,,
NBA,PP,6F,pp-6f,Keon Ellis PTS o7.5 | Tyrese Maxey AST o6.5 | Sam Hauser PTS o7.5 | Quentin Grimes PTS o7.5 | Onyeka Okongwu PTS o9.5 | Dominick Barlow REB o2.5,1.7004497656907231,0.337356109451421,0.6663538760643362,0.6595991862567371,15.959918625673705,0.11753948576769269,prizepicks-10959186-points-7.5-over,prizepicks-10958676-assists-6.5-over,prizepicks-10961908-points-7.5-over,prizepicks-10959011-points-7.5-over,prizepicks-10957214-points-9.5-over,prizepicks-10958632-rebounds-2.5-over,0.03757772281975921,0.03757772281975921,0.018788861409879606,7.515544563951843,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.011441374116276921,strong,,,
NBA,PP,6P,pp-6p,Victor Wembanyama PTS o23.5 | Sam Hauser PTS o7.5 | De'Aaron Fox PTS o14.5 | Tyrese Maxey AST o6.5 | Dominick Barlow REB o2.5 | Devin Vassell PTS o11.5,1.6404356940704545,0.07041161850854545,0.07041161850854545,0.6425925850118424,14.259258501184235,0.09600286953103754,prizepicks-10953322-points-23.5-over,prizepicks-10961908-points-7.5-over,prizepicks-10950659-points-14.5-over,prizepicks-10958676-assists-6.5-over,prizepicks-10958632-rebounds-2.5-over,prizepicks-10952425-points-11.5-over,0.017821368600897468,0.017821368600897468,0.008910684300448734,3.5642737201794934,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.0021335371233252506,strong,,,
NBA,PP,6F,pp-6f,Luke Kornet Rebounds Assists o7.5 | Victor Wembanyama PTS o23.5 | Onyeka Okongwu PTS o9.5 | Jonathan Kuminga PTS o6.5 | Dyson Daniels PTS o8.5 | Luke Kennard Rebounds Assists o5.5,1.5660718478548863,0.3249199266449144,0.6533316061355853,0.6530886986917954,15.308869869179533,0.11102899820275103,prizepicks-10953212-rebounds_assists-7.5-over,prizepicks-10953322-points-23.5-over,prizepicks-10957214-points-9.5-over,prizepicks-10964994-points-6.5-over,prizepicks-10957654-points-8.5-over,prizepicks-10964945-rebounds_assists-5.5-over,0.036453104645559405,0.036453104645559405,0.018226552322779702,7.290620929111881,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.010570083359184504,strong,,,
NBA,PP,6F,pp-6f,Dominick Barlow REB o2.5 | Dyson Daniels PTS o8.5 | Sam Hauser PTS o7.5 | Luke Kornet Rebounds Assists o7.5 | Victor Wembanyama PTS o23.5 | Keon Ellis PTS o7.5,1.5640493688911832,0.3247306165032784,0.6531304541465274,0.6530253441137134,15.30253441137134,0.11096564362466899,prizepicks-10958632-rebounds-2.5-over,prizepicks-10957654-points-8.5-over,prizepicks-10961908-points-7.5-over,prizepicks-10953212-rebounds_assists-7.5-over,prizepicks-10953322-points-23.5-over,prizepicks-10959186-points-7.5-over,0.03644189267328996,0.03644189267328996,0.01822094633664498,7.288378534657993,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.0105595530461179,strong,,,
NBA,PP,6P,pp-6p,Onyeka Okongwu PTS o9.5 | Victor Wembanyama PTS o23.5 | Dominick Barlow REB o2.5 | Harrison Barnes PTS o6.5 | Taylor Hendricks PTS o9.5 | Keon Ellis PTS o7.5,1.5577133221766282,0.06820568859137675,0.06820568859137675,0.6391661979724225,13.916619797242236,0.09257648249161765,prizepicks-10957214-points-9.5-over,prizepicks-10953322-points-23.5-over,prizepicks-10958632-rebounds-2.5-over,prizepicks-10958270-points-6.5-over,prizepicks-10958221-points-9.5-over,prizepicks-10959186-points-7.5-over,0.017425521096883022,0.017425521096883022,0.008712760548441511,3.485104219376604,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.0020170343517874967,strong,,,
NBA,PP,6P,pp-6p,De'Aaron Fox PTS o14.5 | Quentin Grimes PTS o7.5 | Chet Holmgren PTS o12.5 | Onyeka Okongwu PTS o9.5 | Taylor Hendricks PTS o9.5 | Dyson Daniels PTS o8.5,1.5433419403423771,0.06782245174246339,0.06782245174246339,0.6385664990481303,13.856649904813034,0.09197678356732553,prizepicks-10950659-points-14.5-over,prizepicks-10959011-points-7.5-over,prizepicks-10964179-points-12.5-over,prizepicks-10957214-points-9.5-over,prizepicks-10958221-points-9.5-over,prizepicks-10957654-points-8.5-over,0.017355173364517106,0.017355173364517106,0.008677586682258553,3.4710346729034214,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.0019970579351479578,strong,,,
NBA,PP,6F,pp-6f,De'Aaron Fox PTS o14.5 | Victor Wembanyama PTS o23.5 | Keon Ellis PTS o7.5 | Kelly Oubre REB o3.5 | Jaime Jaquez PTS o11.5 | Onyeka Okongwu PTS o9.5,1.5338729866924008,0.32189833956632313,0.6501103762582624,0.6515247288139405,15.152472881394047,0.10946502832489613,prizepicks-10950659-points-14.5-over,prizepicks-10953322-points-23.5-over,prizepicks-10959186-points-7.5-over,prizepicks-10955857-rebounds-3.5-over,prizepicks-10970692-points-11.5-over,prizepicks-10957214-points-9.5-over,0.036174736106777,0.036174736106777,0.0180873680533885,7.234947221355401,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.010364806204294526,strong,,,
NBA,PP,5P,pp-5p,Victor Wembanyama PTS o23.5 | Davion Mitchell AST o5.5 | Tyrese Maxey AST o6.5 | Onyeka Okongwu PTS o9.5 | Jonathan Kuminga PTS o6.5,1.493300991302632,0.1246650495651316,0.1246650495651316,0.6594015433915724,15.940154339157237,0.11012127186142073,prizepicks-10953322-points-23.5-over,prizepicks-10959150-assists-5.5-over,prizepicks-10958676-assists-6.5-over,prizepicks-10957214-points-9.5-over,prizepicks-10964994-points-6.5-over,,0.034211530711461366,0.034211530711461366,0.017105765355730683,6.842306142292273,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.00471955281057135,must_play,,,
NBA,PP,5P,pp-5p,Dominick Barlow REB o2.5 | Kelly Oubre REB o3.5 | De'Aaron Fox PTS o14.5 | Dyson Daniels PTS o8.5 | Chet Holmgren PTS o12.5,1.487634400484811,0.12438172002424056,0.12438172002424056,0.6590983363121821,15.90983363121821,0.10981806478203038,prizepicks-10958632-rebounds-2.5-over,prizepicks-10955857-rebounds-3.5-over,prizepicks-10950659-points-14.5-over,prizepicks-10957654-points-8.5-over,prizepicks-10964179-points-12.5-over,,0.034147615313518544,0.034147615313518544,0.017073807656759272,6.829523062703708,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.00469986962183227,must_play,,,
NBA,PP,6P,pp-6p,Quentin Grimes PTS o7.5 | Dyson Daniels PTS o8.5 | Harrison Barnes PTS o6.5 | Chet Holmgren PTS o12.5 | Kelly Oubre REB o3.5 | Sam Hauser PTS o7.5,1.465496553323213,0.06574657475528568,0.06574657475528568,0.6353267839801379,13.532678398013786,0.08873706849933305,prizepicks-10959011-points-7.5-over,prizepicks-10957654-points-8.5-over,prizepicks-10958270-points-6.5-over,prizepicks-10964179-points-12.5-over,prizepicks-10955857-rebounds-3.5-over,prizepicks-10961908-points-7.5-over,0.016969424446910478,0.016969424446910478,0.008484712223455239,3.3938848893820954,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.001890670410360288,strong,,,
NBA,PP,6F,pp-6f,Jaime Jaquez PTS o11.5 | Victor Wembanyama PTS o23.5 | Kelly Oubre REB o3.5 | Julian Champagnie PTS o8.5 | Sam Hauser PTS o7.5 | Dyson Daniels PTS o8.5,1.4296345330133793,0.31200224871777216,0.6393992753720374,0.6462442953119646,14.624429531196462,0.1041845948229202,prizepicks-10970692-points-11.5-over,prizepicks-10953322-points-23.5-over,prizepicks-10955857-rebounds-3.5-over,prizepicks-10950873-points-8.5-over,prizepicks-10961908-points-7.5-over,prizepicks-10957654-points-8.5-over,0.03520933461692066,0.03520933461692066,0.01760466730846033,7.041866923384132,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.009696066662389268,strong,,,
NBA,PP,5P,pp-5p,Onyeka Okongwu PTS o9.5 | CJ McCollum PTS o14.5 | De'Aaron Fox PTS o14.5 | Quentin Grimes PTS o7.5 | Sam Hauser PTS o7.5,1.4241300432928439,0.1212065021646422,0.1212065021646422,0.6557038133563607,15.57038133563608,0.10642354182620906,prizepicks-10957214-points-9.5-over,prizepicks-10957044-points-14.5-over,prizepicks-10950659-points-14.5-over,prizepicks-10959011-points-7.5-over,prizepicks-10961908-points-7.5-over,,0.03342623891277787,0.03342623891277787,0.016713119456388936,6.6852477825555745,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.004482174715272437,must_play,,,
NBA,PP,6F,pp-6f,Jonathan Kuminga PTS o6.5 | Julian Champagnie PTS o8.5 | Jaime Jaquez PTS o11.5 | De'Aaron Fox PTS o14.5 | Sam Hauser PTS o7.5 | Victor Wembanyama PTS o23.5,1.4180650646088728,0.31089292185543527,0.6381829491662886,0.6455982578421541,14.559825784215406,0.10353855735310968,prizepicks-10964994-points-6.5-over,prizepicks-10950873-points-8.5-over,prizepicks-10970692-points-11.5-over,prizepicks-10950659-points-14.5-over,prizepicks-10961908-points-7.5-over,prizepicks-10953322-points-23.5-over,0.035088389201037386,0.035088389201037386,0.017544194600518693,7.017677840207477,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.009618911906991767,strong,,,
NBA,PP,6F,pp-6f,Dominick Barlow REB o2.5 | Matas Buzelis PTS o16.5 | Jonathan Kuminga PTS o6.5 | VJ Edgecombe PTS o12.5 | Onyeka Okongwu PTS o9.5 | Luke Kornet Rebounds Assists o7.5,1.4161413400810727,0.310708252099108,0.6379801571449273,0.6454631757474676,14.546317574746755,0.1034034752584232,prizepicks-10958632-rebounds-2.5-over,prizepicks-10950970-points-16.5-over,prizepicks-10964994-points-6.5-over,prizepicks-10964974-points-12.5-over,prizepicks-10957214-points-9.5-over,prizepicks-10953212-rebounds_assists-7.5-over,0.03506301937148177,0.03506301937148177,0.017531509685740885,7.012603874296354,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.009604279429772215,strong,,,
NBA,PP,6P,pp-6p,Payton Pritchard PTS o16.5 | Davion Mitchell AST o5.5 | Victor Wembanyama PTS o23.5 | Keon Ellis PTS o7.5 | Onyeka Okongwu PTS o9.5 | Matas Buzelis PTS o16.5,1.4032911832837085,0.06408776488756555,0.06408776488756555,0.6326193317094865,13.261933170948637,0.08602961622868166,prizepicks-10964932-points-16.5-over,prizepicks-10959150-assists-5.5-over,prizepicks-10953322-points-23.5-over,prizepicks-10959186-points-7.5-over,prizepicks-10957214-points-9.5-over,prizepicks-10950970-points-16.5-over,0.016639382277451875,0.016639382277451875,0.008319691138725938,3.3278764554903746,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.001806096266905521,strong,,,
NBA,PP,6P,pp-6p,Baylor Scheierman Rebounds Assists o7.5 | De'Aaron Fox PTS o14.5 | Victor Wembanyama PTS o23.5 | Luke Kennard Rebounds Assists o5.5 | Jonathan Kuminga PTS o6.5 | Dominick Barlow REB o2.5,1.3919164724947088,0.06378443926652556,0.06378443926652556,0.6320742893998716,13.207428939987162,0.08548457391906683,prizepicks-10972458-rebounds_assists-7.5-over,prizepicks-10950659-points-14.5-over,prizepicks-10953322-points-23.5-over,prizepicks-10964945-rebounds_assists-5.5-over,prizepicks-10964994-points-6.5-over,prizepicks-10958632-rebounds-2.5-over,0.016572066133964673,0.016572066133964673,0.008286033066982336,3.3144132267929347,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.0017901604543153217,strong,,,
NBA,PP,5P,pp-5p,Davion Mitchell AST o5.5 | Sam Hauser PTS o7.5 | Tyrese Maxey AST o6.5 | Victor Wembanyama PTS o23.5 | Onyeka Okongwu PTS o9.5,1.378268457718455,0.11891342288592274,0.11891342288592274,0.653229960943932,15.322996094393199,0.10394968941378036,prizepicks-10959150-assists-5.5-over,prizepicks-10961908-points-7.5-over,prizepicks-10958676-assists-6.5-over,prizepicks-10953322-points-23.5-over,prizepicks-10957214-points-9.5-over,,0.032893497507916813,0.032893497507916813,0.016446748753958407,6.578699501583363,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.004327511046823313,must_play,,,
NBA,PP,6P,pp-6p,Jonathan Kuminga PTS o6.5 | Victor Wembanyama PTS o23.5 | Tyrese Maxey AST o6.5 | CJ McCollum PTS o14.5 | Jaylen Brown PTS o25.5 | Baylor Scheierman Rebounds Assists o7.5,1.376067275792174,0.06336179402112464,0.06336179402112464,0.6313771973415557,13.13771973415557,0.08478748186075091,prizepicks-10964994-points-6.5-over,prizepicks-10953322-points-23.5-over,prizepicks-10958676-assists-6.5-over,prizepicks-10957044-points-14.5-over,prizepicks-10957700-points-25.5-over,prizepicks-10972458-rebounds_assists-7.5-over,0.016485534415113422,0.016485534415113422,0.008242767207556711,3.297106883022684,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.001768912669868513,strong,,,
NBA,PP,5P,pp-5p,Onyeka Okongwu PTS o9.5 | Victor Wembanyama PTS o23.5 | Devin Vassell PTS o11.5 | Jonathan Kuminga PTS o6.5 | Taylor Hendricks PTS o9.5,1.3709954709427068,0.11854977354713535,0.11854977354713535,0.6527828632443656,15.278286324436557,0.10350259171421394,prizepicks-10957214-points-9.5-over,prizepicks-10953322-points-23.5-over,prizepicks-10952425-points-11.5-over,prizepicks-10964994-points-6.5-over,prizepicks-10958221-points-9.5-over,,0.03279655722548401,0.03279655722548401,0.016398278612742005,6.559311445096802,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.004301688786881841,must_play,,,
NBA,PP,6F,pp-6f,CJ McCollum PTS o14.5 | Jaylen Brown PTS o25.5 | Victor Wembanyama PTS o23.5 | Collin Gillespie AST o5.5 | Onyeka Okongwu PTS o9.5 | Keon Ellis PTS o7.5,1.3703572122082917,0.3062949032056259,0.6331072031306415,0.6430998080857393,14.309980808573933,0.1010401075966949,prizepicks-10957044-points-14.5-over,prizepicks-10957700-points-25.5-over,prizepicks-10953322-points-23.5-over,prizepicks-10957436-assists-5.5-over,prizepicks-10957214-points-9.5-over,prizepicks-10959186-points-7.5-over,0.03461453804708164,0.03461453804708164,0.01730726902354082,6.9229076094163275,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.0093140326466026,strong,,,
