Sport,site,flexType,cardEv,winProbCash,winProbAny,avgProb,avgEdgePct,leg1Id,leg2Id,leg3Id,leg4Id,leg5Id,leg6Id,kellyRawFraction,kellyCappedFraction,kellyFinalFraction,kellyStake,kellyRiskAdjustment,efficiencyScore,portfolioRank,runTimestamp
NBA,PP,6P,0.4785288951621056,0.03942743720432282,0.03942743720432282,0.5833929710156401,8.339297101564007,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10273470-rebounds-4,prizepicks-10260527-rebounds-5,prizepicks-10262619-assists-4,prizepicks-10273683-rebounds_assists-5,0.008983591622791144,0.008983591622791144,0.004491795811395572,3.368846858546679,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.44417275021961533,0.2083558260214728,0.5099309322145851,0.5833929710156401,8.339297101564007,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10273470-rebounds-4,prizepicks-10260527-rebounds-5,prizepicks-10262619-assists-4,prizepicks-10273683-rebounds_assists-5,0.01907670493755165,0.01907670493755165,0.009538352468775825,7.153764351581869,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6P,0.4275759703999995,0.038068692543999985,0.038068692543999985,0.5800479735004773,8.004797350047731,prizepicks-10273468-rebounds-4,prizepicks-10260527-rebounds-5,prizepicks-10273683-rebounds_assists-5,prizepicks-10268481-steals-0.5,prizepicks-10268358-pra-15.5,prizepicks-10273470-rebounds-4,0.008312868348617802,0.008312868348617802,0.004156434174308901,3.117325630731676,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6P,0.4260998040785844,0.03802932810876225,0.03802932810876225,0.5799412897262348,7.994128972623489,prizepicks-10273468-rebounds-4,prizepicks-10273470-rebounds-4,prizepicks-10262619-assists-4,prizepicks-10273491-assists-4,prizepicks-10268481-steals-0.5,prizepicks-10251823-rebounds_assists-9,0.008291073195024161,0.008291073195024161,0.004145536597512081,3.1091524481340604,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6P,0.4187380383527699,0.03783301435607386,0.03783301435607386,0.5793803631799762,7.938036317997625,prizepicks-10251823-rebounds_assists-9,prizepicks-10268481-steals-0.5,prizepicks-10273491-assists-4,prizepicks-10273468-rebounds-4,prizepicks-10273683-rebounds_assists-5,prizepicks-10273470-rebounds-4,0.008176059238988136,0.008176059238988136,0.004088029619494068,3.066022214620551,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6P,0.41433620007948657,0.037715632002119644,0.037715632002119644,0.5790868720032999,7.908687200329988,prizepicks-10273470-rebounds-4,prizepicks-10268481-steals-0.5,prizepicks-10262619-assists-4,prizepicks-10273468-rebounds-4,prizepicks-10260600-rebounds-5,prizepicks-10251823-rebounds_assists-9,0.008115599434020451,0.008115599434020451,0.0040577997170102255,3.043349787757669,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.4083885975311894,0.20418434224861026,0.5039377200455416,0.5805454827649522,8.054548276495224,prizepicks-10263717-rebounds_assists-8.5,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10273470-rebounds-4,prizepicks-10260527-rebounds-5,prizepicks-10262619-assists-4,0.01805156501148028,0.01805156501148028,0.00902578250574014,6.769336879305105,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6P,0.40556666096221106,0.03748177762565896,0.03748177762565896,0.5785259454570412,7.852594545704123,prizepicks-10273491-assists-4,prizepicks-10268481-steals-0.5,prizepicks-10273683-rebounds_assists-5,prizepicks-10273468-rebounds-4,prizepicks-10260600-rebounds-5,prizepicks-10273470-rebounds-4,0.00799950549170439,0.00799950549170439,0.003999752745852195,2.999814559389146,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.4022949183359996,0.2034705980799999,0.5029050822399999,0.5800479735004773,8.004797350047731,prizepicks-10262619-assists-4,prizepicks-10273468-rebounds-4,prizepicks-10268481-steals-0.5,prizepicks-10273470-rebounds-4,prizepicks-10273683-rebounds_assists-5,prizepicks-10268358-pra-15.5,0.01786887119715715,0.01786887119715715,0.008934435598578575,6.700826698933931,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.3998636610971662,0.20318555114932504,0.5024920861682621,0.5797780420381613,7.977804203816128,prizepicks-10268481-steals-0.5,prizepicks-10260527-rebounds-5,prizepicks-10273468-rebounds-4,prizepicks-10278810-pra-13.5,prizepicks-10262619-assists-4,prizepicks-10273470-rebounds-4,0.017769293597447212,0.017769293597447212,0.008884646798723606,6.663485099042704,HALF_KELLY,,,2026-03-03T16:41:59 ET
